N° Client,Nom Client,Date facture,Date d'échéance,Echu/Non échu,Libellé Facture non réglée,Facturé TTC,Règlement/Avoir ,Action,Date de régularisation,Motif rejet ,COMMENTAIRE,,
G84100,MONTOYA GLASS,6/1/2020,6/1/2020,ECHU,1907222-10-G84100,186.00,0.00,Mail fait au client - 03/04 / client demande report en juin - relance 02/06 suite nouvel impayé,,SUR ORDRE,,,
G94490,AJM BAT AUTOMOBILE,4/1/2020,4/1/2020,ECHU,1803033-24-G94490,178.80,0.00,Mail fait au client - 03/04 + relance le 06/05,,SUR ORDRE,,,
G94490,AJM BAT AUTOMOBILE,5/1/2020,5/1/2020,ECHU,1803033-25-G94490,178.80,0.00,Mail fait au client - 03/04 + relance le 06/05,,SUR ORDRE,,,
H0X009,LA BOUTIQUE DE LIZE,4/1/2020,4/1/2020,ECHU,1605008-16-H0X009,148.83,148.83,Mail fait au client - 17/04,,SERVICE SPECIFIQUE,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-1-LI-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-2-LI-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-3-LI-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-4-LI-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-5-LI-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912004-2-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912003-1-LI-H0X020,166.47,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912003-2-LI-H0X020,166.47,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,03/01/20,03/01/20,ECHU,F1912003-2-H0X020,166.47,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/03/20,01/03/20,ECHU,F1912004-6-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/04/20,01/04/20,ECHU,F1912004-7-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/05/20,01/05/20,ECHU,F1912004-8-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/05/20,01/05/20,ECHU,F1912003-3-H0X020,166.47,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/06/20,01/06/20,ECHU,F1912004-9-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X020,DECOR HEYTENS,01/07/20,01/07/20,ECHU,F1912004-10-H0X020,208.36,0.00,Courrier en AR envoyé le 09ou 10/07 selon quand Térence à poster en Belgique,,,,,
H0X234,PRANNA DECO,11/1/2019,11/1/2019,ECHU,1607005AVT2-1-H0X234,31.20,0.00,,,,,,
H0X269,VAL DECO,1/1/2020,1/1/2020,ECHU,1607006-43-H0X269,174.36,174.36,Mail fait au client avec mandat et facture - le 01/04 / relance le 10/04 et 17/04 - indique envoyer le mandat par courrier / demande de le recevoir par mail le 21/04,,MANDAT CADUC,,,
H0X269,VAL DECO,2/1/2020,2/1/2020,ECHU,1607006-44-H0X269,174.36,174.36,Mail fait au client avec mandat et facture - le 01/04 / relance le 10/04 et 17/04 - indique envoyer le mandat par courrier / demande de le recevoir par mail le 21/04,,MANDAT CADUC,,,
H0X269,VAL DECO,3/1/2020,3/1/2020,ECHU,1607006-45-H0X269,174.36,174.36,Mail fait au client avec mandat et facture - le 01/04 / relance le 10/04 et 17/04 - indique envoyer le mandat par courrier / demande de le recevoir par mail le 21/04,,MANDAT CADUC,,,
H0X269,VAL DECO,4/1/2020,4/1/2020,ECHU,1607006-46-H0X269,174.36,174.36,Mail fait au client avec mandat et facture - le 01/04 / relance le 10/04 et 17/04 - indique envoyer le mandat par courrier / demande de le recevoir par mail le 21/04,,MANDAT CADUC,,,
H0X280,JAFAC,4/1/2020,4/1/2020,ECHU,1606033-43-H0X280,251.04,0.00,Mail fait au client - 03/04,,SUR ORDRE,,,
H0X312,JOMAEL,6/1/2020,6/1/2020,ECHU,1909047-9-H0X312,313.92,313.92,Appel client le 05/06 fait virement en direct,8-Jun,DNOR,,,
HIP076,ITAL 1,4/1/2020,4/1/2020,ECHU,1907199-9-HIP076,42.36,0.00,Mail fait au client - 03/04 // demande report - accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP076,ITAL 1,5/1/2020,5/1/2020,ECHU,1907199-10-HIP076,42.36,0.00,Mail fait au client - 03/04 // demande report - accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP076,ITAL 1,6/1/2020,6/1/2020,ECHU,1907199-11-HIP076,42.36,0.00,Mail fait au client - 03/04 // demande report - accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP076,ITAL 1,7/1/2020,7/1/2020,ECHU,1907199-12-HIP076,42.36,0.00,Message vocal le 03/07 pour relance sur avenant en attente de signature et rejet du prélèvement,,SUR ORDRE,,,
HIP172,NADREST,4/1/2020,4/1/2020,ECHU,1911023-4-HIP172,42.36,0.00,Facture et RIB envoyé le 03/04 pour virement de régularisation // le 06/05 virement non reçu : nouvelle relance // nouvelle relance 04/06,,SUR ORDRE,,,
HIP172,NADREST,5/1/2020,5/1/2020,ECHU,1911023-5-HIP172,42.36,0.00,Facture et RIB envoyé le 03/04 pour virement de régularisation // le 06/05 virement non reçu : nouvelle relance // nouvelle relance 04/06,,SUR ORDRE,,,
HIP172,NADREST,6/1/2020,6/1/2020,ECHU,1911023-6-HIP172,42.36,0.00,Facture et RIB envoyé le 03/04 pour virement de régularisation // le 06/05 virement non reçu : nouvelle relance // nouvelle relance 04/06,,SUR ORDRE,,,
HIP418,G&G,4/1/2020,4/1/2020,ECHU,1908093-6-HIP418,42.36,0.00,Mail fait au client - 03/04 + relance 06/05 et 04/06,,SUR ORDRE,,,
HIP418,G&G,5/1/2020,5/1/2020,ECHU,1908093-7-HIP418,42.36,0.00,Mail fait au client - 03/04 + relance 06/05 et 04/06,,SUR ORDRE,,,
HIP418,G&G,6/1/2020,6/1/2020,ECHU,1908093-8-HIP418,42.36,0.00,Mail fait au client - 03/04 + relance 06/05 et 04/06,,SUR ORDRE,,,
HIP483,ANGY,4/1/2020,4/1/2020,ECHU,1908091-6-HIP483,42.36,42.36,"Appel ce jour de Malika Salem. Elle nous demande un RIB pour effectuer un virement, NE PAS PRELEVER A NOUVEAU. Elle demande également de procéder de la même manière pour MAI, et jusqu'au déconfinement. La passer dans le tableau des sociétés à ne pas prélever.Voici son adresse ou il faut lui envoyer la facture d'avril avec notre RIB pour régularisation : malikasalemhippo@icloud.com     Elle nous demande de lui faire un mail pour MAI afin de lui rappeler de faire un virement, lui joindre également la facture à ce moment là",4/14/2020,PROV INSUFF,Réception le 09/04 avis de virement - attente réception sur compte / le 14/04 : réception des fonds ok,,
HIP483,ANGY,5/1/2020,5/1/2020,ECHU,1908091-7-HIP483,42.36,42.36,,,,,,
HIP639,SEO 84,4/1/2020,4/1/2020,ECHU,1909009-6-HIP639,42.36,42.36,Mail fait au client - 03/04 + relance 06/05 // le 02/06 réception avis virement,3-Jun,SUR ORDRE,Avis de virement pour règlement des 3 factures échues le 02/06,,
HIP639,SEO 84,5/1/2020,5/1/2020,ECHU,1909009-7-HIP639,42.36,42.36,Mail fait au client - 03/04 + relance 06/05 // le 02/06 réception avis virement,3-Jun,SUR ORDRE,,,
HIP639,SEO 84,6/1/2020,6/1/2020,ECHU,1909009-8-HIP639,42.36,42.36,Mail fait au client - 03/04 + relance 06/05 // le 02/06 réception avis virement,3-Jun,SUR ORDRE,,,
HIP641,CASSANDRE,4/1/2020,4/1/2020,ECHU,1908082-6-HIP641,42.36,0.00,Mail fait au client - 03/04 + relance le 04/05,,SUR ORDRE,,,
HIP641,CASSANDRE,5/1/2020,5/1/2020,ECHU,1908082-7-HIP641,42.36,0.00,Mail fait au client - 03/04 + relance le 04/05,,,,,
HIP777,PONTIP,2/24/2020,2/24/2020,ECHU,2002176-1-HIP777,51.00,0.00,Relance le 03/04 - client demande geste commercial - transmis à Térence // accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP777,PONTIP,4/1/2020,4/1/2020,ECHU,1907200-9-HIP777,42.36,0.00,Relance le 03/04 - client demande geste commercial - transmis à Térence // accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP777,PONTIP,5/1/2020,5/1/2020,ECHU,1907200-10-HIP777,42.36,0.00,Relance le 03/04 - client demande geste commercial - transmis à Térence // accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP777,PONTIP,6/1/2020,6/1/2020,ECHU,1907200-11-HIP777,42.36,0.00,Relance le 03/04 - client demande geste commercial - transmis à Térence // accord Térence pour régularisation post confinement // interrogation Térence le 03/06 pour savoir le délai de relance suite réouverture au 02/06 // avenant en attente de signature,,SUR ORDRE,,,
HIP777,PONTIP,7/1/2020,7/1/2020,ECHU,1907200-12-HIP777,42.36,0.00,Message vocal le 03/07 pour relance sur avenant en attente de signature et rejet du prélèvement,,SUR ORDRE,,,
M00054,RC 30 EXPOITATION,4/1/2020,4/1/2020,ECHU,1703068-35-M00054,156.00,156.00,Mail fait au client - 14/04,,SUR ORDRE,,,
M00079,JMD MOTOR'S,4/1/2020,4/1/2020,ECHU,1907155-6-M00079,111.60,111.60,Mail fait au client - 07/04 // mise à jour Mandat + RIB // nouveau rejet le 11 - relance,5/12/2020,PROV INSUFF,,,
M00079,JMD MOTOR'S,4/1/2020,4/1/2020,ECHU,1902049-10-M00079,156.00,156.00,Mail fait au client - 07/04 // mise à jour Mandat + RIB // nouveau rejet le 11 - relance,5/12/2020,PROV INSUFF,,,
M00079,JMD MOTOR'S,4/1/2020,4/1/2020,ECHU,1706141-32-M00079,234.00,234.00,Mail fait au client - 07/04 // mise à jour Mandat + RIB // nouveau rejet le 11 - relance,5/12/2020,PROV INSUFF,,,
M00085,ETABLISSEMENTS R GERMAUX SARL,4/1/2020,5/3/2020,ECHU,1506076-57-M00085,182.40,0.00,,,,,,
M00085,ETABLISSEMENTS R GERMAUX SARL,5/1/2020,6/3/2020,ECHU,1506076-58-M00085,182.40,0.00,,,,Fact intermédiaire,,
M00129,DILINA,4/1/2020,5/3/2020,ECHU,1504028-61-M00129,154.80,0.00,,,,,,
M00129,DILINA,5/1/2020,6/3/2020,ECHU,1504028-62-M00129,154.80,0.00,,,,Fact intermédiaire,,
M00151,SOA AUTOMOBILE SARL,4/1/2020,4/1/2020,ECHU,1702021-37-M00151,156.00,156.00,prolongation- Que fait on? ,,PAS DE MOTIF,,,
M00178,GARAGE LEITE,4/1/2020,4/1/2020,ECHU,1704050-4-LI-M00178,210.00,0.00,litige : facture de transfert // relance 17/03 + 02/04 + 05/06,,SUR ORDRE,,,
M00178,GARAGE LEITE,6/8/2020,6/8/2020,ECHU,1708079-12-LI-M00178,168.53,168.53,cout copie - litige sur période // avoir,,SUR ORDRE,,,
M00178,GARAGE LEITE,6/23/2020,6/23/2020,ECHU,1708079-14-LI-M00178,112.36,0.00,Message vocal le 30/06,,SUR ORDRE,facture de cout copie période 01/01 - 29/02,,
M00200,ORLEANS ECHAPPEMENT,6/1/2020,6/1/2020,ECHU,1704028-13-M00200,32.04,0.00,Appel client + envoi mail pour être recontactée par la personne gérant nos factures,,SUR ORDRE,,,
M00207,LE POT AUDOMAROIS,1/1/2020,1/1/2020,ECHU,1611027-33-M00207,156.00,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,1/13/2020,1/13/2020,ECHU,1708034-12-LI-M00207,58.19,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,3/1/2020,3/1/2020,ECHU,1611027-35-M00207,156.00,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,4/1/2020,4/1/2020,ECHU,1611027-36-M00207,156.00,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,6/1/2020,6/1/2020,ECHU,1611027-38-M00207,156.00,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,6/8/2020,6/8/2020,ECHU,1708034-13-LI-M00207,0.07,0.00,Mail fait au client - 17/03 + relance 06/04 + 20/04 + 08/06,,PROV INSUFF,,,
M00207,LE POT AUDOMAROIS,7/1/2020,7/1/2020,ECHU,1611027-39-M00207,156.00,0.00,Centre fermé depuis 21/01 + Ctr en prol depuis 31/03 + Ne paye plus depuis 01/01 + Ne répond pas aux relances ni au tél - interrogation via optima de Pierre,,,,,
M00243,OSNY AUTOMOBILE,4/1/2020,4/1/2020,ECHU,1804098-21-M00243,156.00,156.00,,4/10/2020,SERVICE SPECIFIQUE,,,
M00243,OSNY AUTOMOBILE,4/1/2020,4/1/2020,ECHU,1804098-21-M00243,156.00,0.00,Mail fait au client - 03/04 + Relance 22/04 - réponse client : pas de sous,,SERVICE SPECIFIQUE,,,
M00338,TOURVILLE ENTRETIEN AUTOMOBILES,5/1/2020,5/1/2020,ECHU,1701083-39-M00338,214.80,0.00,Mail fait au client - 07/05,,OPPOSITION SUR COMPTE,,,
M00338,TOURVILLE ENTRETIEN AUTOMOBILES,6/1/2020,6/1/2020,ECHU,1701083-40-M00338,214.80,0.00,,,,,,
M00381,PB 13,4/1/2020,4/1/2020,ECHU,1910248-4-M00381,156.00,156.00,Mail fait au client - 03/04+ relance le 06/05,12-May,SUR ORDRE,,,
M00381,PB 13,5/1/2020,5/1/2020,ECHU,1910248-5-M00381,156.00,156.00,Mail fait au client - 03/04+ relance le 06/05,12-May,SUR ORDRE,,,
M00403,AUTO DOMUM SARL,4/1/2020,4/1/2020,ECHU,1806029-20-M00403,180.00,180.00,,4/10/2020,PAS DE MOTIF,,,
M00445,MAISONS LAFFITE PNEUMATIQUES,3/1/2020,3/1/2020,ECHU,1701080-37-M00445,177.60,177.60,Mail fait au client - 17/03 + relance 09/04 + 23/04,,PROV INSUFF,,,
M00445,MAISONS LAFFITE PNEUMATIQUES,3/1/2020,3/1/2020,ECHU,1409008-65-M00445,193.20,193.20,Mail fait au client - 17/03 + relance 09/04 + 23/04,,PROV INSUFF,,,
M00445,MAISONS LAFFITE PNEUMATIQUES,4/1/2020,4/1/2020,ECHU,1701080-38-M00445,177.60,177.60,Mail fait au client - 17/03 + relance 09/04 + 23/04,,PROV INSUFF,,,
M00445,MAISONS LAFFITE PNEUMATIQUES,4/1/2020,4/1/2020,ECHU,1409008-66-M00445,193.20,193.20,Mail fait au client - 17/03 + relance 09/04 + 23/04,,PROV INSUFF,,,
M00454,T&M SERVICE AUTO COULOMMIERS,6/1/2020,6/1/2020,ECHU,1611233-39-M00454,156.00,0.00,,,,,,
M00486,SOMECAR,5/1/2020,5/1/2020,ECHU,1601059-50-M00486,54.00,54.00,Mail fait au client - 11/05,,PROV INSUFF,,,
M00486,SOMECAR,5/1/2020,5/1/2020,ECHU,1811102-12-M00486,184.80,184.80,Mail fait au client - 11/05,,PROV INSUFF,,,
M00486,SOMECAR,5/1/2020,5/1/2020,ECHU,1710035-27-M00486,92.40,92.40,Mail fait au client - 11/05,,PROV INSUFF,,,
M00499,AUTOMOTIVE WORLD TRADER,4/10/2020,4/10/2020,ECHU,1209005-87-M00499,106.80,106.80,Mail fait au client - 17/04 + Relance 14/05,,PROV INSUFF,,,
M00499,AUTOMOTIVE WORLD TRADER,5/10/2020,5/10/2020,ECHU,1209005-88-M00499,106.80,106.80,Mail fait au client - 17/04 + Relance 14/05,,PROV INSUFF,,,
M00510,CENTRE AUTO DE LA BAIE,3/1/2020,3/1/2020,ECHU,1703074-32-M00510,36.00,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,3/1/2020,3/1/2020,ECHU,1902042-3-M00510,191.88,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,3/1/2020,3/1/2020,ECHU,1902043-3-M00510,190.80,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,3/1/2020,3/1/2020,ECHU,1912065-2-M00510,152.40,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,4/1/2020,4/1/2020,ECHU,1703074-33-M00510,36.00,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,4/1/2020,4/1/2020,ECHU,1902042-4-M00510,191.88,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,4/1/2020,4/1/2020,ECHU,1902043-4-M00510,190.80,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00510,CENTRE AUTO DE LA BAIE,4/1/2020,4/1/2020,ECHU,1912065-3-M00510,152.40,0.00,Mail fait au client - 03/04 + relance le 17/04,,CONTESTATION DEBITEUR,,,
M00513,PONTAULT AUTO SERVICES,4/1/2020,4/1/2020,ECHU,1702066AVT1-31-M00513,17.88,0.00,géré c’est-à-dire? / relance Pierre sur le dossier le 10/07,,PROV INSUFF,,,
M00513,PONTAULT AUTO SERVICES,4/1/2020,4/1/2020,ECHU,1702066-35-M00513,261.60,0.00,géré c’est-à-dire? / relance Pierre sur le dossier le 10/07,,PROV INSUFF,,,
M00513,PONTAULT AUTO SERVICES,4/1/2020,4/1/2020,ECHU,1705071-35-M00513,178.80,0.00,géré c’est-à-dire? / relance Pierre sur le dossier le 10/07,,PROV INSUFF,,,
M00513,PONTAULT AUTO SERVICES,03/04/200,4/3/2020,ECHU,1304061-81-M00513,106.80,0.00,géré c’est-à-dire? / relance Pierre sur le dossier le 10/07,,PROV INSUFF,,,
M00513,PONTAULT AUTO SERVICES,03/05/200,5/3/2020,ECHU,1304061-82-M00513,106.80,0.00,géré c’est-à-dire? / relance Pierre sur le dossier le 10/07,,PROV INSUFF,,,
M00546,TINQUEUX AUTO SERVICES,5/1/2020,5/1/2020,ECHU,1809035-20-M00546,257.88,257.88,Mail fait au client - 06/05 - nouvelle présentation possible à compter du 11/05,,SUR ORDRE,,,
M00546,TINQUEUX AUTO SERVICES,5/1/2020,5/1/2020,ECHU,1506040-20-M00546,190.80,190.80,Mail fait au client - 06/05 - nouvelle présentation possible à compter du 11/05,,SUR ORDRE,,,
M00554,J.H. CORPORATION,3/17/2020,3/17/2020,ECHU,1509009-7-LI-M00554,-101.88,0.00,,,,,,
M00554,J.H. CORPORATION,3/17/2020,3/17/2020,ECHU,2001236-1-M00554,142.80,0.00,,,,,,
M00564,CC AUTOMOBILES,4/1/2020,4/1/2020,ECHU,1903055-12-M00564,214.68,214.68,Mail fait au client - 09/04,,PROV INSUFF,,,
M00588,AB ET CD,4/1/2020,4/1/2020,ECHU,1801038-25-M00588,273.48,273.48,Opposition faite à la banque sur l' ensemble des prel- Ce n' es pas ce que le client souhaitait il relance donc la banque pour débloquer la situation-information recu par mail le 07/04/2020 - Relance 21/04 - Client indique faire un chèque dès que possible,,SUR ORDRE,,,
M00605,SMART GARAGE 2000,4/1/2020,4/1/2020,ECHU,1811087-17-M00605,18.00,0.00,Mail fait au client - 03/04 + relance le 17/04 et le 06/05,,SERVICE SPECIFIQUE,,,
M00605,SMART GARAGE 2000,5/1/2020,5/1/2020,ECHU,1811087-18-M00605,18.00,0.00,Mail fait au client - 03/04 + relance le 17/04 et le 06/05,,SERVICE SPECIFIQUE,,,
M01367,GARAGE DU CENTRE,5/14/2020,6/1/2020,ECHU,1701106-28-M01367,590.40,0.00,Audience le 08/07,,,,,
M01367,GARAGE DU CENTRE,5/14/2020,6/1/2020,ECHU,1701105-28-M01367,160.80,0.00,Audience le 08/07,,,,,
M01494,THANIER AUTOMOBILES,7/1/2020,7/1/2020,ECHU,2005066-1-LI-M01494,260.40,0.00,,,,Fact intermédiaire,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1804047-23-MOA000,"5,880.00",0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1709064-29-MOA000,192.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1907074-6-MOA000,117.60,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1905136-6-MOA000,210.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1710098-29-MOA000,168.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1909190-7-MOA000,78.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1609081-43-MOA000,206.40,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1712014-28-MOA000,108.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1910253-4-MOA000,225.60,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1701055-38-MOA000,210.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1611241-40-MOA000,64.80,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1703060-37-MOA000,232.80,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1801073-26-MOA000,84.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1802064-25-MOA000,42.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,4/1/2020,4/1/2020,ECHU,1904005-11-MOA000,201.60,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1804047-24-MOA000,"5,880.00",0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1709064-30-MOA000,192.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1907074-7-MOA000,117.60,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1905136-7-MOA000,210.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1710098-30-MOA000,168.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1909190-8-MOA000,78.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1609081-44-MOA000,206.40,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1712014-29-MOA000,108.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1910253-5-MOA000,225.60,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1701055-39-MOA000,210.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1611241-41-MOA000,64.80,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1703060-38-MOA000,232.80,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1801073-27-MOA000,84.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
MOA000,MOA,5/1/2020,5/1/2020,ECHU,1802064-26-MOA000,42.00,0.00,Accord trouvé entre Jérôme et le siège moa -NE PAS PRELEVER,,SUR ORDRE,ne plus prélever,,
