cial,Raison sociale 1,relation,Code postal,Ville,ID SECTEUR,N° Téléphone,Libellé fonction dirigeant principal,Nom ou raison sociale dirigeant principal,Code civilité dirigeant principal,Prenom dirigeant principal,Nom représentant dirigeant principal,Siren,Siret,Adresse,Code NAF entreprise,Libellé NAF entreprise,N° Fax,Dernier chiffre d'affaires connu,Effectif Entreprise,Date de création Entreprise,Libellé forme juridique,Capital social
AED,MISSION LOCALE RURALE TERNOIS HAUT PAY,,62130,SAINT POL SUR TERNOISE,1,321032610,,,,,,380755348,38075534800022,31 RUE DES PROCUREURS,8899B,Action sociale sans hébergement n.c.a.,321035588,,10,1991-01-01,Association déclarée,
AED,POLYCLINIQUE DU TERNOIS,,62130,SAINT POL SUR TERNOISE,1,321474140,Président Directeur Général,WISNIEWSKI,M,Patrick,,317961969,31796196900019,55 RUE DE ROSEMONT,8610Z,Activités hospitalières,,6861218,141,1980-01-01,SA à conseil d'administration,320000
AED,SCM BEVETAU,,62130,SAINT POL SUR TERNOISE,1,321032480,Co-gérant,CLARISSE,M,Kleber,,322669300,32266930000012,RUE DE ROSEMONT,8219Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",,,10,1981-01-01,Société civile de moyens,914
AED,SCP MICHEL DANEL ET JOCELYNE MARTIN,,62130,SAINT POL SUR TERNOISE,1,321041313,Co-gérant,DANEL,M,Michel,,784080400,78408040000020,6 B PL GEORGES GRAUX,6910Z,Activités juridiques,,,10,1900-01-01,Société civile professionnelle,259925
AED,SERVICE TUTELAIRE ET DE PROTECTION,,62130,SAINT POL SUR TERNOISE,1,321031111,,,,,,334247855,33424785500037,1 RUE DU GAL DE GAULLE,8899B,Action sociale sans hébergement n.c.a.,,,50,1985-10-01,Association déclarée,
AED,SOMANOR,,62130,SAINT POL SUR TERNOISE,1,321031255,Gérant,VOISEUX,M,Sebastien,,422854679,42285467900038,RUE DE FREVENT,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,,11785832,23,1999-05-03,Société à responsabilité limitée,514000
AED,ARTOIS MOTOCULTURE,,62223,SAINTE CATHERINE,1,321711202,Président,COURBOIS,M,Frederic,,424492973,42449297300013,RTE DE BETHUNE,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,,19232281,63,1999-09-21,Société par actions simplifiée,450000
AED,GOBEAUX,,62223,SAINTE CATHERINE,1,321584140,Gérant,GOBEAUX,M,Patrick,,409904885,40990488500012,5 B RUE DE LA CROIX DE GRES,4334Z,Travaux de peinture et vitrerie,,1914542,17,1996-12-01,Société à responsabilité limitée,8000
AED,LAUCAT,,62223,SAINTE CATHERINE,1,321152620,Président,LE GUYADER,M,Nicolas  Andre  Georges  Alix,,323400499,32340049900014,RTE DE BETHUNE,4711D,Supermarchés,,11052487,24,1982-02-01,Société par actions simplifiée,100496
AED,LEROY,CLI,62223,SAINTE CATHERINE,1,321504510,Président,LECLERCQ,,Jean Maurice,,395156839,39515683900056,RUE DU FOUR A CHAUX-Z A LE PAC,3320A,"Installation de structures métalliques, chaudronnées et de tuyauterie",,3918921,21,1994-04-02,Société par actions simplifiée,50000
AED,SERUSIER SIGNALETIQUE,,62223,SAINTE CATHERINE,1,321246666,Président,SERUSIER,MME,Nadine,,310603022,31060302200016,1 CHS BRUNEHAUT,1813Z,Activités de pré-presse,321246667,1723072,10,1977-01-01,Société par actions simplifiée,20000
AED,SOC ARRAGEOIS CONDITION COMMERCIAL OEU,,62223,SAINTE CATHERINE,1,321584422,Président du conseil de surveillance,GLUSZAK,,Lucienne,,327999173,32799917300039,RUE DU FOUR AU CHAUX,7010Z,Activités des sièges sociaux,,17282799,40,1983-09-01,Société par actions simplifiée,211260
AED,DHOT PARTICIPATIONS,,62158,SAULTY,1,321482357,Co-gérant,DHOT,M,Rene Albert Emile,,333074524,33307452400021,361 RUE FAUNE,6420Z,Activités des sociétés holding,,3342817,35,1985-07-01,Société civile,186600
AED,LA TOURELLE-BLIJDERVEEN VERGER,,62158,SAULTY,1,321248548,Gérant,VARRAS,M,Michael,,400218822,40021882200056,RUE FAUNE,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,321248243,11166650,17,1995-02-15,Société à responsabilité limitée,250000
AED,L OEUF DE LA SOUCHEZ,,62153,SOUCHEZ,1,321294382,Gérant,PRUVOST,M,Claude,,393362264,39336226400029,19 RTE DE CARENCY,4633Z,"Commerce de gros (commerce interentreprises) de produits laitiers, ½ufs, huiles et matières grasses comestibles",,4985965,13,1994-01-01,SARL unipersonnelle,48136
AED,PACARY,,62550,TANGRY,1,321473802,Président,PACARY,MME,"Sylvie, Louisa, Juliette",,753947761,75394776100015,45 RUE DE SAINT OMER,4759A,Commerce de détail de meubles,,,10,2012-10-01,SASU Société par actions simplifiée à associé unique,10000
AED,ATELIER PROTEGE DE LA REGION D'ARRAS,,62217,TILLOY LES MOFFLAINES,1,321732222,,,,,,316264795,31626479500022,AV D IMMERCOURT,2712Z,Fabrication de matériel de distribution et de commande électrique,,,100,1979-01-01,Association déclarée,
AED,CLINITEX 62,,62217,TILLOY LES MOFFLAINES,1,321598545,Gérant,PICK,M,Thierry Edouard,,422678722,42267872200022,AV D IMMERCOURT,8121Z,Nettoyage courant des bâtiments,,4177321,122,1999-05-03,Société à responsabilité limitée,120000
AED,ELECMATIC,,62217,TILLOY LES MOFFLAINES,1,321242171,Co-gérant,BIDARD,M,Bertrand Pierre Etienne,,351390109,35139010900038,18 AV D IMMERCOURT,4652Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication,321242063,7883024,18,1989-02-15,Société à responsabilité limitée,7622
AED,ETS  SOKALSKI - S.P.M.T,,62217,TILLOY LES MOFFLAINES,1,321227820,Président,GMS PARTICIPATIONS,M,Guy Marie,SOKALSKI,325964005,32596400500038,46 AV D IMMERCOURT,2561Z,Traitement et revêtement des métaux,321227821,6630334,40,1982-10-20,Société par actions simplifiée,100000
AED,SYND MIXTE ARTOIS VALORISATION,,62217,TILLOY LES MOFFLAINES,1,321073091,,,,,,256204074,25620407400056,11 RUE VOLTA,3811Z,Collecte des déchets non dangereux,,,50,2002-03-18,Syndicat mixte communal,
AED,TRANSPORTS ANTOINE NORD,,62217,TILLOY LES MOFFLAINES,1,231486700,Président,GRIMALDI,M,Eric Jean Marie,,477579379,47757937900025,RUE NICEPHORE NIEPCE,4941A,Transports routiers de fret interurbains,,5629551,48,2004-06-10,Société par actions simplifiée,900000
AED,TRANSPORTS STYLE,,62217,TILLOY LES MOFFLAINES,1,321070404,Président,SOFITRANS SARL,M,Philippe,M GENTY,301941837,30194183700017,1 B RUE DU NOBLE,4941A,Transports routiers de fret interurbains,321555136,5540543,46,1974-01-01,SASU Société par actions simplifiée à associé unique,45735
AED,VALIX,,62217,TILLOY LES MOFFLAINES,1,321241422,Gérant,SIX,MME,Valerie,,497709618,49770961800019,83 AV CHARLES DE GAULLE,4799A,Vente à domicile,,4014824,49,2007-03-28,SARL unipersonnelle,7500
AED,HAINAUT MENUISERIE,,59125,TRITH SAINT LEGER,1,327462121,Président,VIGNON,M,Mathieu Jean Baptiste,,409149713,40914971300029,RTE NATIONALE,4332A,Travaux de menuiserie bois et PVC,,1500525,12,1996-09-01,Société par actions simplifiée,40000
AED,PLACE AUTOCARS,,59125,TRITH SAINT LEGER,1,327343506,Président,PLACE,M,Alain,,499511665,49951166500014,15 RUE DE L EGALITE,4939B,Autres transports routiers de voyageurs,,3705484,36,2007-08-04,Société par actions simplifiée,37000
AED,PLACE HAINAUT BUS,,59125,TRITH SAINT LEGER,1,327343506,Président,PLACE,M,Alain,,499569648,49956964800011,15 RUE DE L EGALITE,4939B,Autres transports routiers de voyageurs,,1819171,19,2007-08-13,Société par actions simplifiée,37000
AED,SOCIETE FABRICATIONS MECANIQUES,,59125,TRITH SAINT LEGER,1,327210070,Gérant,DOSA,M,Luigi,,395231350,39523135000020,9201 AV AMBROISE CROIZAT,2420Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",,464161,14,1994-05-18,Société à responsabilité limitée,38112
AED,TRANSIT TRANSPORT BRUNO CATTIAU,,59125,TRITH SAINT LEGER,1,327210199,Gérant,CATTIAU,M,Bruno,,381105386,38110538600027,4 RUE PAUL ELUARD,5229B,Affrètement et organisation des transports,,2973866,10,1991-02-01,Société à responsabilité limitée,60979
AED,VALDUNES INTERNATIONAL,,59125,TRITH SAINT LEGER,1,327236262,Président Directeur Général,GRAF HALLER VON HALLERSTEIN,M,Lorenz,,501282990,50128299000024,RUE JULES GUESDE,6420Z,Activités des sociétés holding,,3216487,26,2007-11-13,SA à conseil d'administration,7921000
AED,SARL CAILLE,,62159,VAULX VRAUCOURT,1,321506208,Gérant,CAILLE,M,Jean-Luc,,433441953,43344195300026,RTE DE DOUAI,4321A,Travaux d'installation électrique dans tous locaux,,2354171,16,2000-10-01,Société à responsabilité limitée,450000
AED,ETS POUCHAIN,,62450,VILLERS AU FLOS,1,321071181,Gérant,POUCHAIN,M,Bernard,,388090060,38809006000020,6 RUE DE LE TRANSLOY,2830Z,Fabrication de machines agricoles et forestières,321241401,2318617,14,1992-07-01,Société à responsabilité limitée,121500
AED,SCP AVINEE LINARD LE JOUBIOUX,,62580,VIMY,1,321737943,Gérant,AVINEE,M,Marc,,784094369,78409436900013,15 PL DE LA REPUBLIQUE,6910Z,Activités juridiques,,,10,1900-01-01,Société civile professionnelle,153306
AED,WILVA,,62156,VIS EN ARTOIS,1,321710501,Président,VASSEUR,M,Frederic,,384270682,38427068200022,2 B RUE DE CHERISY,4711D,Supermarchés,,4590452,10,1992-01-27,Société par actions simplifiée,80000
AED,ALLIANCE EHPAD,,62490,VITRY EN ARTOIS,1,321507200,,,,,,351011911,35101191100010,26 RUE DE L EGLISE,8710A,Hébergement médicalisé pour personnes âgées,,,50,1977-12-21,Association déclarée,
AED,ARTS ET FLEURS,,62490,VITRY EN ARTOIS,1,321501428,Co-gérant,PAYEN,M,Jean Michel,,420498578,42049857800012,70 RTE NATIONALE,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",,2881959,28,1998-10-01,Société à responsabilité limitée,7622
AED,B.S.M BIACHE SERVICE MAINTENANCE,,62490,VITRY EN ARTOIS,1,321511074,Co-gérant,LERICHE,M,Gregory,,418485561,41848556100025,250 RUE DE QUIERY,3312Z,Réparation de machines et équipements mécaniques,321511365,2910806,13,1998-02-01,Société à responsabilité limitée,60000
AED,ETABLISSEMENTS MEUCLET-RICHEZ,,62490,VITRY EN ARTOIS,1,321551844,Président du conseil de surveillance,MEUCLET,M,Luc Jean Ghislain,,46050290,4605029000066,82 RUE DE QUIERY,4618Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,321733542,985688,14,1960-01-01,SA à directoire,238000
AED,LOCANET,,62490,VITRY EN ARTOIS,1,321501364,Président,STEWARD,MME,Catherine,,353015779,35301577900013,4 RTE NATIONALE,7732Z,Location et location-bail de machines et équipements pour la construction,321486234,1707318,10,1990-01-01,Société par actions simplifiée,201200
AED,MCTF,,62490,VITRY EN ARTOIS,1,321150839,Gérant,DESREMAUX,M,Jean Edouard,,483162533,48316253300028,125 RUE DE QUIERY,2511Z,Fabrication de structures métalliques et de parties de structures,,1334590,16,2005-07-01,Société à responsabilité limitée,7500
AED,S.A ARTESIENNE DE MINOTERIE,,62490,VITRY EN ARTOIS,1,321501272,Président,TARTAR,MME,Martine,,571920966,57192096600017,RUE DU MOULIN,1061A,Meunerie,,11166708,25,1957-01-01,Société par actions simplifiée,660000
AED,NETINOX,,62770,WAMIN,1,321412590,Président,HOLDING RL SARL,M,Roland,LOQUET,380104174,38010417400012,RUE DU BAS,2511Z,Fabrication de structures métalliques et de parties de structures,321471989,1221488,13,1990-10-11,Société par actions simplifiée,40000
AED,EARL BANCOURT,,62124,YTRES,1,321733374,Gérant,BANCOURT,M,Jean Louis,,379783517,37978351700012,9 RUE PIERRE WATEL,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,,10,1990-10-01,EARL - Exploitation agricole à responsabilité limitée,
AED,PRIM'ARTOIS,,62124,YTRES,1,321598629,Gérant,COURTAUX,M,Pascal,,513532887,51353288700017,5 RUE NEUVE,0150Z,Culture et élevage associés,,821462,11,2009-07-01,Société à responsabilité limitée,10000
AED,SCEA RICAUX THERY,,62124,YTRES,1,321733314,Associé-gérant,RICAUX,M,Jean,,347962961,34796296100020,4 RUE DU FOSSE,0113Z,"Culture de légumes, de melons, de racines et de tubercules",,,20,1988-06-03,Société civile d'exploitation agricole SCEA,112550
CET,LES ROTISSERIES AVESNOISES,,59186,ANOR,2,327595004,Gérant,ROUSSEL,M,Gregory,,404390239,40439023900014,12 RUE ST LAURENT,4781Z,Commerce de détail alimentaire sur éventaires et marchés,,1181760,14,1995-09-01,Société à responsabilité limitée,7622
CET,SAMBRE MECA,,59600,ASSEVENT,2,327667575,Gérant non associé,SALETZKY,M,Christophe Albert Noel,,325274280,32527428000032,VOIE GEORGES DESPRET,2562B,Mécanique industrielle,,2056152,20,1982-08-01,SARL unipersonnelle,268052
CET,ASS SYNERGIE,,59620,AULNOYE AYMERIES,2,327538224,,,,,,408310472,40831047200043,15 PL DE LA GARE,8899B,Action sociale sans hébergement n.c.a.,,,50,1996-07-15,"Association déclarée ""entreprises d'insertion par l'économique""",
CET,ASSOCIATION CONTACT,,59620,AULNOYE AYMERIES,2,327664411,,,,,,451063606,45106360600011,144 RUE DE L HOTEL DE VILLE,8899B,Action sociale sans hébergement n.c.a.,,,10,1983-02-09,Association déclarée,
CET,AULCRI,,59620,AULNOYE AYMERIES,2,327582540,Président,THERY,M,Fabien Jean Claude Herve,,439797077,43979707700013,RUE LA FONTAINE,4752B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)",327582541,1814368,19,2001-11-01,Société par actions simplifiée,181504
CET,CENTRE SOCIAL CULTUREL AULNOYE AYMERIE,,59620,AULNOYE AYMERIES,2,327665432,,,,,,334301629,33430162900013,PL DU HUIT MAI 45,9499Z,Autres organisations fonctionnant par adhésion volontaire,327672907,,20,1985-04-01,Association déclarée,
CET,LES NUITS SECRETES,,59620,AULNOYE AYMERIES,2,327624017,,,,,,511605628,51160562800011,PL DU DOCTEUR GUERSANT,9001Z,Arts du spectacle vivant,,,10,2007-05-22,Association déclarée,
CET,MIRABEAU DISTRIBUTION,,59620,AULNOYE AYMERIES,2,327391431,Président Directeur Général,LAMOTE,M,Jean Marie,,432279651,43227965100017,RUE MIRABEAU,4711D,Supermarchés,,13328571,25,2000-06-15,SA à conseil d'administration,152480
CET,SOC LANTOINE,,59620,AULNOYE AYMERIES,2,327673030,Président,LORTHIOIS,M,Damien,,447320334,44732033400017,8 CHE DE BACHANT,2562B,Mécanique industrielle,327672879,1108032,16,1964-01-01,Société par actions simplifiée,39000
CET,TOMMASINI MENUISERIE,,59620,AULNOYE AYMERIES,2,327664744,Président,TOMMASINI,M,Gerard,,338614209,33861420900017,RUE LA FONTAINE,4332A,Travaux de menuiserie bois et PVC,327664688,5495970,24,1985-11-01,Société par actions simplifiée,48000
CET,BIOFRANCE,,59440,AVESNELLES,2,327561230,Président du directoire,HERBRETEAU,M,Stephane Alain Michel,,314818600,31481860000012,RTE D HAUTLIEU,8690B,Laboratoires d'analyses médicales,,12245849,49,1979-01-01,Société d'exercice libéral par action simplifiée,1200046
CET,CHAPEL AVESNELLES,,59440,AVESNELLES,2,327610909,Administrateur,BERNDT,MME,Gesa,,377820030,37782003000015,CHE DU PONCHAUX,2822Z,Fabrication de matériel de levage et de manutention,327610580,7205066,35,1990-05-01,SA à conseil d'administration,200000
CET,GIE SAMBRE AVESNOIS DE BIOLOGIE MED,,59440,AVESNELLES,2,327561230,Administrateur,HERBRETEAU,M,Stephane Alain Michel,,492984901,49298490100016,RTE DE HAUT LIEU,8690B,Laboratoires d'analyses médicales,,,20,2007-01-01,Groupement d'intérêt économique,9000
CET,LA PEN'TIERE,,59440,AVESNELLES,2,327579188,Gérant,HUBIERE,M,Jean Lin,,310810213,31081021300010,21 RTE D ETROEUNGT,5610A,Restauration traditionnelle,,593772,11,1977-01-01,Société à responsabilité limitée,38112
CET,NPV LECLERCQ,,59440,AVESNELLES,2,975547099,Gérant,LECLERCQ,M,Xavier,,479659476,47965947600010,41 RUE CHARLES SERY,4334Z,Travaux de peinture et vitrerie,,992631,13,2004-11-25,SARL unipersonnelle,10000
CET,SADI,,59440,AVESNELLES,2,327611616,Président,O'CONNELL,M,Alan Patrick,,445520455,44552045500020,RTE NATIONALE 2,2825Z,Fabrication d'équipements aérauliques et frigorifiques industriels,,7496713,62,1900-01-01,Société par actions simplifiée,37800
CET,ASS PETIT TAMBOUR,,59440,AVESNES SUR HELPE,2,327619071,,,,,,330928466,33092846600037,QUAI DE L'HOPITAL,8891A,Accueil de jeunes enfants,,,10,1983-08-01,Association déclarée,
CET,HOURRIER,,59440,AVESNES SUR HELPE,2,327614492,Gérant,HOURRIER,M,Philippe,,502588734,50258873400017,2 B RUE DE SAINT AUBIN,8130Z,Services d'aménagement paysager,,939088,10,2008-01-01,Société à responsabilité limitée,15000
CET,PIERRE LEVEQUE & REGINALD NININ,,59440,AVESNES SUR HELPE,2,327615500,Co-gérant,LEVEQUE,M,Pierre Charles Albert Paul,,315736272,31573627200024,1 RUE WANWERWICK,7112A,Activité des géomètres,327613915,,10,1979-01-01,Société civile professionnelle,106714
CET,PLANARD DROUET MARYSE,,59440,AVESNES SUR HELPE,2,327612889,,,,,,381627868,38162786800015,3 RUE DU COLLEGE,4391B,Travaux de couverture par éléments,,,20,1991-04-01,Artisan,
CET,SA CHRISTIAN DUCROCQ,,59440,AVESNES SUR HELPE,2,327610278,Président du conseil d'administration,DUCROCQ,M,Christian,,950381871,95038187100017,36 RUE DU COLLEGE,4391B,Travaux de couverture par éléments,327579196,1460565,19,1989-10-01,SA à conseil d'administration,64000
CET,SOC COOP AGRICOL CEREALES & APPROVISIO,,59440,AVESNES SUR HELPE,2,327613334,Président,ROSELEUR,M,Stephane,,301522223,30152222300017,4 RUE JOSEPH RIVIERE,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",,9706812,13,1900-01-01,Société coopérative agricole,
CET,ETABLISSEMENTS JM FLIPO,,59138,BACHANT,2,327673724,Président,FLIPO,M,Jean Marc,,447020181,44702018100049,103 RUE DE MAUBEUGE,4322A,Travaux d'installation d'eau et de gaz en tous locaux,327664088,1136987,15,1964-01-01,Société par actions simplifiée,100000
CET,SAMBRE AVESNOIS ENTRETIENS,,59138,BACHANT,2,327680058,Gérant,BOURGEOIS VANWYNENDEALE,MME,Claudine Nee,,332456052,33245605200049,10 RUE POLVENT,4334Z,Travaux de peinture et vitrerie,327687414,5771726,40,1985-04-23,Société à responsabilité limitée,78000
CET,GARAGE MODERNE,,59440,BAS LIEU,2,327610973,Président,CONRAUX,M,Lionel,,446320525,44632052500020,RTE NATIONALE,4511Z,Commerce de voitures et de véhicules automobiles légers,,10793376,29,1963-01-01,Société par actions simplifiée,72500
CET,AMBULANCES MARCHANT,,59570,BAVAY,2,327631470,Gérant,DELCROIX,M,Michel Remy,,504013160,50401316000016,14 RUE DE MAUBEUGE,8690A,Ambulances,,707034,12,2008-04-01,Société à responsabilité limitée,10000
CET,CLOEZ TREHOUT PEINTURES,,59570,BAVAY,2,327669505,Président,ROTH,M,Didier,,326126695,32612669500039,RUE DELMER,4334Z,Travaux de peinture et vitrerie,,2780889,28,1983-01-01,SASU Société par actions simplifiée à associé unique,182400
CET,EMBALLAGE DIFFUSION SERVICE,,59570,BAVAY,2,327635200,Président,L C M A,M,Cesar Marcel Albert,,411517964,41151796400036,RUE EUGENE MASCART,4676Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires,327635209,13933332,21,1997-03-01,Société par actions simplifiée,38112
CET,HULIN EDMOND ET CIE,,59570,BAVAY,2,327633600,Gérant,PIRET,M,Jacky,,447320128,44732012800021,RUE EUGENE MASCART,1624Z,Fabrication d'emballages en bois,327633609,,10,1900-01-01,Société à responsabilité limitée,32014
CET,INTERRACCORD,,59570,BAVAY,2,327630532,Président du conseil de surveillance,DELCORTE,M,Hubert Marie Joseph,,317642452,31764245200013,77 RUE DE LA CHAUSSEE,2420Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",327399029,2269287,21,1980-01-01,Société par actions simplifiée,350000
CET,LHOTE GILBERT,,59570,BAVAY,2,327631700,,,,,,350436994,35043699400031,35 RTE D'AVESNES,4391B,Travaux de couverture par éléments,,,10,1989-02-20,Artisan,
CET,MAISON DE RETRAITE VILLA SENECTA,,59570,BAVAY,2,327631201,,,,,,265907113,26590711300020,RUE DES REMPARTS,8730A,Hébergement social pour personnes âgées,,,20,1983-03-01,Etablissement public local social et médico-social,
CET,FORETS & PAYSAGES,,59330,BEAUFORT,2,327678226,Gérant,GORISSE,M,Dominique,,382351286,38235128600010,9 RUE DE L HOPITAL,0240Z,Services de soutien à l'exploitation forestière,,2258031,25,1991-06-01,Société à responsabilité limitée,41600
CET,SARL JOACHIM,,59570,BELLIGNIES,2,327630825,Gérant,JOACHIM,,Damien,,404139966,40413996600018,1 RTE DE BETTRECHIES,4312A,Travaux de terrassement courants et travaux préparatoires,,1017115,14,1996-01-01,Société à responsabilité limitée,92940
CET,ACIERIE ET FONDERIE DE LA HAUTE SAMBRE,,59145,BERLAIMONT,2,327673900,Président du conseil d'administration,FOUQUET,M,Jean Paul,,445620677,44562067700010,RUE DU PONT DES MOINES,2452Z,Fonderie d'acier,327672655,14454722,119,1956-01-01,SA à conseil d'administration,1000000
CET,ATELIER DE SERRURERIE ET DE FERRONNERI,,59145,BERLAIMONT,2,327665429,Gérant,DOMINGUES DE SOUSA,M,Albert,,422266668,42226666800017,5 B RUE DU PONT DES MOINES,2512Z,Fabrication de portes et fenêtres en métal,,1450052,13,1999-03-01,Société à responsabilité limitée,7638
CET,CLOTURES PLACE,,59145,BERLAIMONT,2,327536360,Président,BOUTTEAU,M,Bruno Ernest,,445620974,44562097400011,19 RUE D'AULNOYE,2593Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,14461536,77,1956-01-01,Société par actions simplifiée,1304384
CET,TRIQUET PHILIPPE DENIS,,59145,BERLAIMONT,2,327674243,,,,,,391856101,39185610100012,19 B RUE DU PONT DES MOINES,4399C,Travaux de maçonnerie générale et gros ½uvre de bâtiment,,,10,1993-07-15,Artisan-commerçant,
CET,TUBOSCOPE VETCO (FRANCE),,59145,BERLAIMONT,2,327676239,Président,KLEPPE,M,Kjell Hakon,,338925092,33892509200029,LD LE COMBLE DU PRE PIEMARD,2561Z,Traitement et revêtement des métaux,,7445879,39,1986-06-25,SASU Société par actions simplifiée à associé unique,2000000
CET,LALAUT TRAITEUR,,59440,BOULOGNE SUR HELPE,2,327615002,Gérant,LALAUT,M,Marc,,448473306,44847330600026,2 CHE DE MARBAIX,5621Z,Services des traiteurs,,2243894,24,2003-04-07,Société à responsabilité limitée,250000
CET,DUCARNE BATIMENT,,59222,BOUSIES,2,327773248,Gérant,DUCARNE,M,Andre,,490486073,49048607300011,10 RUE CHARLES SEYDOUX,4120A,Construction de maisons individuelles,,4938165,40,2006-06-02,Société à responsabilité limitée,400000
CET,ENTREPRISE DE BATIMENTS DUCARNE ANDRE,,59222,BOUSIES,2,327773248,Gérant,DUCARNE,M,Andre,,315447482,31544748200037,10 RUE CHARLES SEYDOUX,4120A,Construction de maisons individuelles,,2270802,11,1976-01-01,Société à responsabilité limitée,120000
CET,SARL D'EXPLOITATION DU GARAGE DELENTRE,,59330,BOUSSIERES SUR SAMBRE,2,975799987,Co-gérant,DE WILDE,M,Wilfried Gerard Maurice,,308650373,30865037300019,RUE MAURICE LEROI,4520A,Entretien et réparation de véhicules automobiles légers,,633953,10,1967-01-01,Société à responsabilité limitée,7622
CET,SAS GOBERT,,59330,BOUSSIERES SUR SAMBRE,2,327530670,Président,GOBERT,M,Herve,,339080202,33908020200023,30 RTE DE VIEUX MESNIL,2562B,Mécanique industrielle,327663788,5537235,17,1986-07-01,Société par actions simplifiée,76225
CET,M G C BERTRAND SOC,,59680,CERFONTAINE,2,327655893,Gérant,BERTRAND,M,Arille,,447320177,44732017700010,345 RUE DE QUIEVELON,2511Z,Fabrication de structures métalliques et de parties de structures,,2357694,10,1963-01-01,Société à responsabilité limitée,100000
CET,RESIDENCE LE VERLAINE,,59680,COLLERET,2,327691800,Gérant,MARCHAND,MME,Karine,,349736801,34973680100011,1 RUE VICTOR HUGO,8710A,Hébergement médicalisé pour personnes âgées,,743101,28,1989-02-01,Société à responsabilité limitée,7622
CET,LA MAISON DU PAYS DE COUSOLRE,,59149,COUSOLRE,2,327399696,Président,DOMIDEP,M,Dominique Charles Pierre,PELLE,440980225,44098022500021,RUE DE LANDELIES,8710A,Hébergement médicalisé pour personnes âgées,,1559602,20,2001-12-03,Société par actions simplifiée,38844
CET,ETABLISSEMENTS GROSFILS,,59440,DOURLERS,2,327578217,Gérant,GROSFILS,M,Christian,,318686623,31868662300014,21 RUE D AROUZIES,4332A,Travaux de menuiserie bois et PVC,327578208,1479123,13,1963-01-01,Société à responsabilité limitée,40000
CET,ETABLISSEMENTS EDELWEISS,,59330,ECLAIBES,2,327663030,Président,BERNAERT,MME,Christiane,,325456671,32545667100016,LA PLACE,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,,9038870,42,1982-09-01,Société par actions simplifiée,900000
CET,AMBULANCES-TAXIS PESANT,,59750,FEIGNIES,2,327682489,Co-gérant,PESANT,MME,Francoise Angele Julia,,529101545,52910154500018,64 B RUE JEAN JAURES,8690A,Ambulances,,765004,12,2010-12-14,Société à responsabilité limitée,291900
CET,DELTA PLUS,,59750,FEIGNIES,2,327657404,Gérant,DELCORTE,M,Guillaume Joseph,,418309852,41830985200014,ZI LES LONGUES ROYES,2219Z,Fabrication d'autres articles en caoutchouc,327395897,3228302,36,1998-02-01,Société à responsabilité limitée,15000
CET,DELTINOX,,59750,FEIGNIES,2,327652828,Président du conseil de surveillance,DELCORTE,M,Hubert Marie Joseph,,333801009,33380100900015,RES PAUL ELUARD,2420Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",,4887149,36,1985-10-01,Société par actions simplifiée,300000
CET,ETABLISSEMENTS TROMONT,,59750,FEIGNIES,2,327689462,Président,BC FINANCE & GESTION,,,,307132803,30713280300049,108 RUE DE NEUF MESNIL,4222Z,Construction de réseaux électriques et de télécommunications,,5862294,43,1976-01-01,Société par actions simplifiée,187000
CET,LEAR CORPORATION SEATING FRANCE FEIGNI,,59750,FEIGNIES,2,327533330,Président,HOOPER,M,Robert Chalders,,444549331,44454933100015,ZI DE GREVEAUX LES GUIDES,2932Z,Fabrication d'autres équipements automobiles,,66559948,84,2002-12-12,Société par actions simplifiée,40000
CET,LECONTE DUVEAU VIVIANNE,,59750,FEIGNIES,2,327660845,,,,,,331238113,33123811300020,41 RUE JEAN JAURES,4721Z,Commerce de détail de fruits et légumes en magasin spécialisé,327682283,,10,1984-10-01,Affaire personnelle commerçant,
CET,NORETUD INDUSTRIES SAS,,59750,FEIGNIES,2,673421817,Président,DMH,M,Remi Jean Andre,DURIEU,340343417,34034341700028,95 RUE DE NEUF MESNIL,2562B,Mécanique industrielle,,1739911,15,1987-02-02,Société par actions simplifiée,50000
CET,PIERARD JACQUES PIERRE FELIX,,59750,FEIGNIES,2,327671216,,,,,,314828351,31482835100044,RTE DE VALENCIENNES,7120A,Contrôle technique automobile,,,10,1979-01-01,Artisan,
