ref;fournisseur;site_associe;designation;Prix achat dont ecotaxe;loyer;description;url_image
20528ARI91459ARI;HEXAMED MATERIEL MEDICAL;hexamed;Divan Carina Ovalia Cardiologie 2 parties, électrique (3 moteurs) - 700 mm;2437,51;49,52;"<p style=""text-align:justify;""><span><span style=""text-decoration:underline;""><strong>Le divan d'examen Carina Ovalia</strong></span><span class=""apple-converted-space""> </span>a été spécialement pensé pour les professionnels de la cardiologie.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie<span class=""apple-converted-space""> </span> est composé de deux parties distinctes. Il se caractérise par sa hauteur modulable par système électrique.</span></p>
<p style=""text-align:justify;""><span>Confortable et sécurisé, ce divan dispose d'une partie ""cardio"" qui est amovible pour faciliter le travail du personnel soignant lors des examens.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie Carina Ovalia V2<span class=""apple-converted-space""> </span>est particulièrement adapté aux examens de la cage thoracique et aux échographies cardiaques. Il est équipé de 4 roues à freins individuels et d'une sellerie épaisse assurant le meilleur confort. Une télécommande manuelle fixée à gauche ou à droite du divan permet les réglages en hauteur. Le divan peut adopter la position de Trendelenburg.</span></p>
<p style=""text-align:justify;""><span> </span></p>
<p><span style=""text-decoration:underline;""><strong>Spécificités :</strong></span></p>
<p style=""text-align:justify;""><span>Le divan d'examen à hauteur variable (48 à 88 cm)  se compose d'un châssis à deux colonnes télescopiques, offrant une stabilité maximale.</span></p>
<p style=""text-align:justify;""><span>La sellerie, sans couture apparente, est pensée pour le confort du patient avec un matelas de mousse de 8 cm d'épaisseur et un revêtement anti-feu de classe M1.</span></p>
<p style=""text-align:justify;""><span>La partie ""cardio"" est amovible pour faciliter les examens. Elle s'enlève manuellement. Les dimensions de la sellerie sont au choix de<span class=""apple-converted-space""> </span><strong>70 ou 80 cm de large.</strong></span></p>
<p style=""text-align:justify;""><span>Le dossier peut être bloqué dans toutes les positions souhaitées à l'aide d'un vérin électrique.</span></p>
<p style=""text-align:justify;""><span>La table de cardiologie<span class=""apple-converted-space""> </span><strong>Carina Ovalia</strong><span class=""apple-converted-space""> </span>a une capacité de charge en dynamique de 200 kg</span></p>
<p style=""text-align:justify;""><span>Elle est équipée d'un porte rouleau de largeur 60 cm.</span></p>
<p><span> </span></p>
<p><span><span style=""text-decoration:underline;"">3 moteurs :</span> 2 colonnes électriques pour commander la hauteur et la proclive + 1 vérin pour commander le dossier</span></p>
<p></p>
<p><span> </span><span> </span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;color:#ef1111;"">Transport du mobilier :</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence <span>91335RES </span>(installation à l'étage sur devis).</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/23470-home_default/divan-electrique-2-parties-carina-ovalia-cardiologie-avec-decoupe-cardio.jpg
20529ARI91459ARI;HEXAMED MATERIEL MEDICAL;hexamed;Divan Carina Ovalia Cardiologie 2 parties, électrique (3 moteurs) - 800 mm;2458,33;49,93;"<p style=""text-align:justify;""><span><span style=""text-decoration:underline;""><strong>Le divan d'examen Carina Ovalia</strong></span><span class=""apple-converted-space""> </span>a été spécialement pensé pour les professionnels de la cardiologie.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie<span class=""apple-converted-space""> </span> est composé de deux parties distinctes. Il se caractérise par sa hauteur modulable par système électrique.</span></p>
<p style=""text-align:justify;""><span>Confortable et sécurisé, ce divan dispose d'une partie ""cardio"" qui est amovible pour faciliter le travail du personnel soignant lors des examens.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie Carina Ovalia V2<span class=""apple-converted-space""> </span>est particulièrement adapté aux examens de la cage thoracique et aux échographies cardiaques. Il est équipé de 4 roues à freins individuels et d'une sellerie épaisse assurant le meilleur confort. Une télécommande manuelle fixée à gauche ou à droite du divan permet les réglages en hauteur. Le divan peut adopter la position de Trendelenburg.</span></p>
<p style=""text-align:justify;""><span> </span></p>
<p><span style=""text-decoration:underline;""><strong>Spécificités :</strong></span></p>
<p style=""text-align:justify;""><span>Le divan d'examen à hauteur variable (48 à 88 cm)  se compose d'un châssis à deux colonnes télescopiques, offrant une stabilité maximale.</span></p>
<p style=""text-align:justify;""><span>La sellerie, sans couture apparente, est pensée pour le confort du patient avec un matelas de mousse de 8 cm d'épaisseur et un revêtement anti-feu de classe M1.</span></p>
<p style=""text-align:justify;""><span>La partie ""cardio"" est amovible pour faciliter les examens. Elle s'enlève manuellement. Les dimensions de la sellerie sont au choix de<span class=""apple-converted-space""> </span><strong>70 ou 80 cm de large.</strong></span></p>
<p style=""text-align:justify;""><span>Le dossier peut être bloqué dans toutes les positions souhaitées à l'aide d'un vérin électrique.</span></p>
<p style=""text-align:justify;""><span>La table de cardiologie<span class=""apple-converted-space""> </span><strong>Carina Ovalia</strong><span class=""apple-converted-space""> </span>a une capacité de charge en dynamique de 200 kg</span></p>
<p style=""text-align:justify;""><span>Elle est équipée d'un porte rouleau de largeur 60 cm.</span></p>
<p><span> </span></p>
<p><span><span style=""text-decoration:underline;"">3 moteurs :</span> 2 colonnes électriques pour commander la hauteur et la proclive + 1 vérin pour commander le dossier</span></p>
<p></p>
<p><span> </span><span> </span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;color:#ef1111;"">Transport du mobilier :</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence <span>91335RES </span>(installation à l'étage sur devis).</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/23470-home_default/divan-electrique-2-parties-carina-ovalia-cardiologie-avec-decoupe-cardio.jpg
20530ARI91459ARI;HEXAMED MATERIEL MEDICAL;hexamed;Divan Carina Ovalia Cardiologie 2 parties, électrique (3 moteurs) - 800 mm;2615,83;53,03;"<p style=""text-align:justify;""><span><span style=""text-decoration:underline;""><strong>Le divan d'examen Carina Ovalia</strong></span><span class=""apple-converted-space""> </span>a été spécialement pensé pour les professionnels de la cardiologie.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie<span class=""apple-converted-space""> </span> est composé de deux parties distinctes. Il se caractérise par sa hauteur modulable par système électrique.</span></p>
<p style=""text-align:justify;""><span>Confortable et sécurisé, ce divan dispose d'une partie ""cardio"" qui est amovible pour faciliter le travail du personnel soignant lors des examens.</span></p>
<p style=""text-align:justify;""><span>Le divan de cardiologie Carina Ovalia V2<span class=""apple-converted-space""> </span>est particulièrement adapté aux examens de la cage thoracique et aux échographies cardiaques. Il est équipé de 4 roues à freins individuels et d'une sellerie épaisse assurant le meilleur confort. Une télécommande manuelle fixée à gauche ou à droite du divan permet les réglages en hauteur. Le divan peut adopter la position de Trendelenburg.</span></p>
<p style=""text-align:justify;""><span> </span></p>
<p><span style=""text-decoration:underline;""><strong>Spécificités :</strong></span></p>
<p style=""text-align:justify;""><span>Le divan d'examen à hauteur variable (48 à 88 cm)  se compose d'un châssis à deux colonnes télescopiques, offrant une stabilité maximale.</span></p>
<p style=""text-align:justify;""><span>La sellerie, sans couture apparente, est pensée pour le confort du patient avec un matelas de mousse de 8 cm d'épaisseur et un revêtement anti-feu de classe M1.</span></p>
<p style=""text-align:justify;""><span>La partie ""cardio"" est amovible pour faciliter les examens. Elle s'enlève manuellement. Les dimensions de la sellerie sont au choix de<span class=""apple-converted-space""> </span><strong>70 ou 80 cm de large.</strong></span></p>
<p style=""text-align:justify;""><span>Le dossier peut être bloqué dans toutes les positions souhaitées à l'aide d'un vérin électrique.</span></p>
<p style=""text-align:justify;""><span>La table de cardiologie<span class=""apple-converted-space""> </span><strong>Carina Ovalia</strong><span class=""apple-converted-space""> </span>a une capacité de charge en dynamique de 200 kg</span></p>
<p style=""text-align:justify;""><span>Elle est équipée d'un porte rouleau de largeur 60 cm.</span></p>
<p><span> </span></p>
<p><span><span style=""text-decoration:underline;"">3 moteurs :</span> 2 colonnes électriques pour commander la hauteur et la proclive + 1 vérin pour commander le dossier</span></p>
<p></p>
<p><span> </span><span> </span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;color:#ef1111;"">Transport du mobilier :</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour toute livraison en RDC merci d'ajouter une des deux prestations de la fiche référence <span>91335RES </span>(installation à l'étage sur devis).</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ef1111;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/23470-home_default/divan-electrique-2-parties-carina-ovalia-cardiologie-avec-decoupe-cardio.jpg
20574OBE;HEXAMED MATERIEL MEDICAL;hexamed;Roulettes escamotables pour fauteuil d'examen Mobercas;144,17;3,03;"<p><strong>Roulettes escamotables pour fauteuil d'examen Mobercas</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;color:#333333;""><span style=""text-decoration:underline;"">Compatible uniquement avec les modèles CE-1260-G ,1160, 1150 et 1250 :</span></span></p>
<p>- Fauteuil d'examen Gynécologique Mobercas à 2 moteurs (ref: 17428OBE%)</p>
<p>- Fauteuil d'examen Gynécologique Mobercas (ref: 17408OBE%)</p>
<p>- Fauteuil de podologie Mobercas électrique (ref: 17392OBE%)</p>
<p>- Fauteuil podologique Mobercas avec 2 moteurs (ref: 17431OBE%)</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>A commander en même temps que le divan d'examen.</em></span></p>";https://www.hexamed-leasing.fr/23387-home_default/roulettes-escamotables-pour-fauteuil-d-examen-mobercas.jpg
20591RAF;HEXAMED MATERIEL MEDICAL;hexamed;Spiromètre de poche Vitalograph Micro 2;812,5;16,2;"<p style=""text-align:justify;"">Compact et léger, le <strong>spiromètre de poche Micro 2</strong> est conçu pour la réalisation et l'archivage de tests respiratoires des patients par des professionnels de la santé.</p>
<p style=""text-align:justify;"">Les données enregistrées peuvent être visualisées directement sur l'<strong>écran LCD couleur tactile</strong> dont dispose l'appareil, mais aussi sur ordinateur grâce au câble USB de transfert.</p>
<p style=""text-align:justify;"">La liaison communication avec le PC va permettre notamment d'effectuer des impressions PDF ou d'archiver les examens.</p>
<p style=""text-align:justify;""><span style=""line-height:1.5em;"">Petit et </span><strong style=""line-height:1.5em;"">robuste,</strong><span style=""line-height:1.5em;""> le <strong>Micro 2</strong> est adapté aux adultes comme aux enfants de 5 ans et plus. </span></p>
<p style=""text-align:justify;""><span style=""line-height:1.5em;"">Doté d'une </span><span style=""line-height:1.5em;"">technologie de haute précision, il pourra être utilisé dans tout type d'établissement : hôpital, centre de santé privé, etc ... </span></p>
<p><span style=""line-height:1.5em;""> </span></p>
<p><span style=""text-decoration:underline;""><span style=""line-height:1.5em;"">Spécificités :</span></span></p>
<p><span style=""line-height:1.5em;"">- Très haute précision, excellente </span><span style=""line-height:1.5em;"">linéarité et stabilité</span></p>
<p><span style=""line-height:1.5em;"">- Logiciel PC fourni avec le périphérique </span></p>
<p><span style=""line-height:1.5em;"">- Stockage des tests et des informations démographiques </span></p>
<p><span style=""line-height:1.5em;"">- Capteur type <strong>Fleish</strong></span></p>
<p><span style=""line-height:1.5em;"">- Alimentation : 4 piles AAA fournies</span></p>
<p><span style=""line-height:1.5em;"">-</span><span style=""line-height:1.5em;""> </span>Livré avec un CD pour l'impression des courbes et valeurs au format PDF.</p>
<p></p>";https://www.hexamed-leasing.fr/23422-home_default/spirometre-de-poche-vitalograph-micro-2.jpg
20619ARI;HEXAMED MATERIEL MEDICAL;hexamed;Roulettes avec freinage centralisé pour divans d'examens Carina Ovalia;280;5,71;"<p>Jeu de 4 roulettes avec freinage centralisé pour divans d'examens Carina Ovalia.</p>
<p>Diamètre 150.</p>";https://www.hexamed-leasing.fr/23477-home_default/roulettes-avec-freinage-centralise-pour-divans-d-examens-carina-ovalia.jpg
20620OBE91472OBE;HEXAMED MATERIEL MEDICAL;hexamed;Pédale avec cordon Y pour divan d'examen Mobercas (double commande) - Pour divan 2 moteurs;212,5;4,38;"<p><strong>Pack comprenant une pédale</strong> <em>(la commande manuelle étant déjà installée de base sur le divan)</em> <strong>et le câble Y</strong>, nécessaire si vous souhaitez utiliser simultanément sur votre divan Mobercas 1 commande au pied et 1 commande manuelle.</p><p> </p><p><span style=""text-decoration: underline;"">Deux modèles au choix : </span></p><p>- Réf. 20459OBE : pédale pour divan d'examen Mobercas 1 moteur + câble Y</p><p>- Réf. 20620OBE : pédale pour divan d'examen Mobercas 2 moteurs + câble Y</p>";https://www.hexamed-leasing.fr/32792-home_default/commande-au-pied-avec-cable-y-pour-utilisation-simultanee-d-1-commande-au-pied-et-d-1-commande-manuelle.jpg
20621RAF;HEXAMED MATERIEL MEDICAL;hexamed;Module ETCO2 Sidestream pour Edan iM8 et iM8-vet;1657,5;32,85;"<p><strong>Module ETCO2</strong> (CO2 en fin d'expiration)<strong> Sidestream</strong> pour Edan iM8.</p>
<p>Compatible avec les moniteurs multiparamétriques Edan iM8 et Edan iM8-vet.</p>
<p><br /><strong><span style=""color:#e4111a;"">A commander impérativement en même temps que le moniteur.</span></strong></p>";https://www.hexamed-leasing.fr/30576-home_default/module-etco2-sidestream-pour-edan-im8.jpg
20625ARD91723ARD;HEXAMED MATERIEL MEDICAL;hexamed;Electrocardiographe ECG Cardioline Touchecg  HD+ Bluetooth (12 pistes) pour PC Windows - Sans option interprétation;1316,67;26,13;"<p style=""text-align:justify;""><strong>Electrocardiographe à 12 dérivations de diagnostic pour ECG au repos pour PC Windows.</strong></p>
<p style=""text-align:justify;"">Il est constitué du dispositif d'acquisition des données ECG HD+ et du logiciel d'analyse Touchecg qui communiquent entre eux à travers la technologie Bluetooth.</p>
<p style=""text-align:justify;""><br /><span style=""text-decoration:underline;"">Les points forts :</span></p>
<p style=""text-align:justify;"">Le <strong>Touchecg HD+</strong> est un <strong>EGC portatif très léger</strong> (moins de 90g) et <strong>très résistant</strong>. Simple d'utilisation, il se connecte aisément à une imprimante sans fil. Il est possible d'acquérir en option, l'<strong>algorithme d'interprétation de Glasgow</strong> pour des analyses d'aide au diagnostic. L'ECG Cardioline Touchecg HD+ est capable de communiquer directement avec une base de donnée archivée sur un PC Windows, un serveur ou un cloud et permet de s'intégrer à des systèmes d'informations cliniques et hospitaliers via la norme Dicom. Il s'agit d'un ECG de haute qualité, d'une grande discrétion sonore, et portatif. <strong>Touchecg HD+</strong> fonctionne aussi bien en mode manuel que monitoring (dans ce cas cet ECG permet l'acquisition d'ECG toutes les X minutes selon pré-programmation) D'un faible coût de possession, il est économe en énergie, les piles permettant une utilisation jusqu'à 1000 électrocardiogrammes. Par ailleurs, les tracés son imprimables sur papier standard, grâce à la possibilité de connexion à imprimante classique.</p>
<p style=""text-align:justify;""><br /><span style=""text-decoration:underline;"">L'ECG Cardioline<strong> Touchecg HD+</strong> : pour qui ?</span></p>
<p style=""text-align:justify;"">Il a plus particulièrement été pensé pour les centres hospitaliers, les soins à domiciles, mais aussi les services d'urgence.</p>
<p style=""text-align:justify;""><br /><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p style=""text-align:justify;"">- résistance aux chocs : jusqu'à 1m</p>
<p style=""text-align:justify;"">- résistance à l'eau : IP 40 / IP 42 - couvercle de silicone</p>
<p style=""text-align:justify;"">- touche, signal LED</p>
<p style=""text-align:justify;"">- impression A4 avec canevas d'impression (liaison wifi avec imprimante)</p>
<p style=""text-align:justify;"">- système d'exploitation : <strong>Windows 7 pro, Windows 8 pro, Window 10 en 32 ou 64 bits </strong></p>
<p style=""text-align:justify;"">- fichiers supportés pour le transfert de l'examen : fichiers.scp, .pdf, en images.png ou .jpg, standard XML, GDT, norme DICOM en option</p>
<p style=""text-align:justify;"">- gestion de la liste des tâches, importation de bases de données patients, gestion simplifiée des dossiers</p>
<p style=""text-align:justify;"">- intégration aux systèmes de bases de données cliniques, ainsi qu'aux archives ou systèmes de gestion, dont PACS des centres hospitaliers</p>
<p style=""text-align:justify;"">- normes du signal : ANSI,ACC, AAMI, AHA</p>
<p style=""text-align:justify;"">- double mode manuel ou monitoring</p>
<p style=""text-align:justify;"">- enregistrement du rythme jusqu'à 30 minutes</p>
<p style=""text-align:justify;"">- bipeur de fréquence cardiaque</p>
<p style=""text-align:justify;"">- calcul de QT selon la formule Fridricia et Bazzet</p>
<p style=""text-align:justify;"">- possibilité de définir un seuil pour etat d’urgence de l’ECG</p>
<p style=""text-align:justify;""></p>";https://www.hexamed-leasing.fr/32900-home_default/ecg-cardioline-hd-touchecg-bluetooth-12-pistes.jpg
20626NTE;HEXAMED MATERIEL MEDICAL;hexamed;Clé USB avec liste de mots du collège National d'audiologie pour Interacoustics;237,5;4,87;"<p>Clé USB avec liste de mots du collège National d'audiologie pour Interacoustics.</p>
<p></p>
<p><span>Compatible avec les modèles :</span></p>
<p>- AD629</p>
<p>- AC40</p>";https://www.hexamed-leasing.fr/29810-home_default/cle-usb-liste-de-mots-college-national-d-audiologie-pour-interacoustics.jpg
20628VOG91327VOG;HEXAMED MATERIEL MEDICAL;hexamed;Opération spéciale VOG - les accessoires à 1€ pour toute commande d'un divan VOG concerné par l'offre - Escabeau 2 marches époxy blanc;0,83;0,21;"<p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Profitez d'un des articles proposés sur cette fiche pour 1€ de plus * </strong></span></p>
<p style=""text-align: center;""><strong style=""color: #ff0000; line-height: 1.5em;"">A ajouter obligatoirement au moment de la commande du divan </strong></p>
<p style=""text-align: center;""><span style=""color: #ff0000; line-height: 1.5em;"">*Offre valable du 01 juin au 30 juin 2017</span></p>
<p style=""text-align: center;""> </p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong style=""line-height: 1.5em;"">Accessoires au choix :</strong></span></p>
<p>- 19395VOG : Tabouret sur roulettes - Assise tendue (le tabouret vous sera livré de la même couleur que le divan commandé) -<em><a href=""http://www.hexamed.fr/8936-tabouret-medical-reglable-par-verin-a-gaz-vog-medical.html""> voir fiche</a></em><span> </span></p>
<p><span><strong>- </strong>19396VOG : Protection PVC cristal transparent -<a href=""https://www.hexamed.fr/8412-protection-pvc-cristal-transparent-vog-medical.html""><em> voir fiche</em> </a></span></p>
<p><strong>- </strong>19398VOG : Coussin - 600 mm (pour divan largeur 670 mm) -<em><a href=""https://www.hexamed.fr/8411-coussin-semi-cylindrique-vog-medical-largeur-600-ou-700-mm.html""> voir fiche</a></em> </p>
<p><strong>- </strong>19399VOG : Coussin - 700 mm (pour divan largeur 800 mm) -<a href=""https://www.hexamed.fr/8411-coussin-semi-cylindrique-vog-medical-largeur-600-ou-700-mm.html""><em> voir fiche</em> </a></p>
<p> </p>
<p><em><br /></em></p>
<p><em><span style=""color: #ff0000;"">* Tout ajout d'un de ces produits au panier sans une commande simultanée d'un divan faisant partie de l'offre ne pourra être traitée.</span></em></p>
<p><em><span style=""color: #ff0000;"">De même vous ne pouvez ajouter qu'1 accessoire par commande pour 1€, si vous en choisissez plusieurs, les autres vous seront facturés aux tarif normal.</span></em></p>";https://www.hexamed-leasing.fr/23593-home_default/operation-speciale-vog.jpg
20629VOG91327VOG;HEXAMED MATERIEL MEDICAL;hexamed;Opération spéciale VOG - les accessoires à 1€ pour toute commande d'un divan VOG concerné par l'offre - Marchepied escamotable;0,83;0,21;"<p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Profitez d'un des articles proposés sur cette fiche pour 1€ de plus * </strong></span></p>
<p style=""text-align: center;""><strong style=""color: #ff0000; line-height: 1.5em;"">A ajouter obligatoirement au moment de la commande du divan </strong></p>
<p style=""text-align: center;""><span style=""color: #ff0000; line-height: 1.5em;"">*Offre valable du 01 juin au 30 juin 2017</span></p>
<p style=""text-align: center;""> </p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong style=""line-height: 1.5em;"">Accessoires au choix :</strong></span></p>
<p>- 19395VOG : Tabouret sur roulettes - Assise tendue (le tabouret vous sera livré de la même couleur que le divan commandé) -<em><a href=""http://www.hexamed.fr/8936-tabouret-medical-reglable-par-verin-a-gaz-vog-medical.html""> voir fiche</a></em><span> </span></p>
<p><span><strong>- </strong>19396VOG : Protection PVC cristal transparent -<a href=""https://www.hexamed.fr/8412-protection-pvc-cristal-transparent-vog-medical.html""><em> voir fiche</em> </a></span></p>
<p><strong>- </strong>19398VOG : Coussin - 600 mm (pour divan largeur 670 mm) -<em><a href=""https://www.hexamed.fr/8411-coussin-semi-cylindrique-vog-medical-largeur-600-ou-700-mm.html""> voir fiche</a></em> </p>
<p><strong>- </strong>19399VOG : Coussin - 700 mm (pour divan largeur 800 mm) -<a href=""https://www.hexamed.fr/8411-coussin-semi-cylindrique-vog-medical-largeur-600-ou-700-mm.html""><em> voir fiche</em> </a></p>
<p> </p>
<p><em><br /></em></p>
<p><em><span style=""color: #ff0000;"">* Tout ajout d'un de ces produits au panier sans une commande simultanée d'un divan faisant partie de l'offre ne pourra être traitée.</span></em></p>
<p><em><span style=""color: #ff0000;"">De même vous ne pouvez ajouter qu'1 accessoire par commande pour 1€, si vous en choisissez plusieurs, les autres vous seront facturés aux tarif normal.</span></em></p>";https://www.hexamed-leasing.fr/23593-home_default/operation-speciale-vog.jpg
20643IDM;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil de prélèvement hydraulique Promotal;1633,33;33,68;"<p>Parfaitement adapté aux laboratoires d’analyses médicales, le <strong>fauteuil de prélèvement à hauteur variable Promotal </strong>(hydraulique) comblera l’ensemble de vos besoins.</p>
<p>Intégrant un dossier et un coussin de pied inclinables ainsi qu’une sellerie de 80 mm d’épaisseur, il assure un confort optimal au patient lors du prélèvement sanguin.</p>
<p>La hauteur du <strong>fauteuil de prélèvement à hauteur Promotal</strong> est variable de 57 à 77 cm.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>- Mousses de 80mm d’épaisseur</p>
<p>- Inclinaison du dossier et du jambier</p>
<p>- Coussin de pied combiné ou indépendant</p>
<p>- Possibilité d’adapter des housses pour appui bras</p>
<p>- Structure facile à nettoyer</p>
<p>- Revêtement avec protection antibactérienne</p>
<p>- Sellerie non feu M1</p>
<p>- Positions déclive et allongée</p>
<p>- Capacité : 200kg</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Poids brut :</span> 75 Kg<br /><br /><br /><em>Informations sur la garantie Standard : En cas de panne ou de problème durant la période de garantie, les frais de transport du matériel jusqu'au SAV du fabricant ou de déplacement d’un technicien sont à la charge du client. Seules les pièces et la main d’oeuvre sont prises en charge par la garantie fabricant.<br /><br /></em></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/23755-home_default/fauteuil-de-prelevement-a-hauteur-variable-promotal.jpg
20644IDM;HEXAMED MATERIEL MEDICAL;hexamed;Protection tétière PVC pour fauteuil de prélèvement à hauteur variable Promotal;33;0,84;<p><strong>Protection tétière PVC</strong> pour fauteuil de prélèvement à hauteur variable Promotal.</p>;https://www.hexamed-leasing.fr/23771-home_default/protection-tetiere-pvc-pour-fauteuil-de-prelevement-a-hauteur-variable-promotal.jpg
20645IDM;HEXAMED MATERIEL MEDICAL;hexamed;Plateau à instruments avec support pour fauteuil de prélèvement à hauteur variable Promotal;140,83;2,97;<p><strong>Plateau à instruments pour fauteuil de prélèvement à hauteur variable Promotal</strong>.</p><p> </p><p>Livré avec un support de diamètre 16 mm.</p>;https://www.hexamed-leasing.fr/28045-home_default/plateau-a-instruments-support-pour-fauteuil-de-prelevement-a-hauteur-variable-promotal.jpg
20647IDM;HEXAMED MATERIEL MEDICAL;hexamed;Protection jambière PVC pour fauteuil de prélèvement à hauteur variable Promotal;40,72;1;<p><strong>Protection jambière PVC</strong> pour fauteuil de prélèvement à hauteur variable Promotal.</p>;https://www.hexamed-leasing.fr/23773-home_default/protection-jambiere-pvc-pour-fauteuil-de-prelevement-a-hauteur-variable-promotal.jpg
