Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,FICHAUX INDUSTRIES,,68 r Gustave Scrive _x000D__x000D_,59110,La Madeleine,+33 3 20 13 33 80,Distribution|,prospect ,Appelé le 05/04_x000D_Mr VAUSSAINCE (RRH)._x000D_Mail envoyé le 12/04
,FIDELIUM,,54 Boulevard Liberté_x000D__x000D_,59000,Lille,03 20 42 15 93,Services - Conseil|,prospect ,Consultant en gestion de patrimoine
,FIELD AND SOLUTIONS GROUPE TOPO,,,59665,VILLENEUVE D ASCQ,,Autres Services aux Entreprises|Services - Conseil/,prospect ,DG recrute lui même via l'ANPE
,FINDUS FRANCE,,17 Boulevard Bassin Napoléon_x000D_62200 Boulogne-sur-Mer,,Boulogne-sur-Mer,03 21 87 34 56,Distribution|,prospect ,
,FIVES INDUSTRIES,,1 RUE DU MONT DE TEMPLEMARS,59113,Seclin,+33 3 20 49 22 00,Industrie|,prospect ,CHARGE D'AFFAIRES H/
,"FIVES LILLE GROUP (FIVES DMS,CAIL,INDUSTRIES)",,,59472,,+33 3 20 49 22 00,Industrie|,prospect ,(amélie a eu un contact deb mars)_x000D__x000D__x000D_c'est Mme HALLOT LABARRERE qui s'occupe des recrutements cadres et employés_x000D_01/07/11 : env mail isabelle.hallot@fivesgroup.com_x000D_09/08/11 : env mail
,FIZZY DISTRIBUTION SAS,,ROUTE NATIONALE,59230,Sars et Rosières,+33 3 27 30 58 58,Distribution|,prospect ,"*fabricant confiserie_x000D_* http://www.fizzy.fr/confiserie/confiserie-enfant/_x000D__x000D_02/11/11 : (r responsable des ventes et pilotes de la force de vente) Mme BERTIN : recrute par ses propres moyens , env mail bbertin@fizzy.fr > rel pour voir l'avancement_x000D_29/11/11 : renv mail"
4669B,FLEURY LEGRAND,,11 rue de la voyette_x000D_CRT 2 _x000D_BP 349,59813,LESQUIN,+33 3 20 18 01 70,Distribution spécialisée|Distribution/,prospect ," distribution, extincteur, maintenance_x000D__x000D_12/05/11 : abs_x000D_13/05/11 : racheter par le groupe cicly, ne recrute pas = déplace du personnel"
,FLEURY MICHON,,BP1 route de la Gare ,85707,Pouzauges,+33 2 51 66 32 32,Industrie|~Hyper-Super-Grands Magasins|Distribution/,prospect ,"_x000D__x000D_15/05/11contact stand : c'est Mme AUBERGER qui s'occupe des recrutements, env mail; auberger.adeline@fleurymichon.fr_x000D_30/5/11: réponse à mon mail : ""Nous fonctionnons avec un référencement de prestataires recrutement mais ne manquerais pas de revenir vers vous en fonction de nos besoins"" > rel rentrée_x000D__x000D_http://www.lavoixeco.com/Fiches/Conseils/Trouver_un_emploi_et_recruter/2011/06/10/article_fleury-michon-ouvrira-son-usine-cambr-ea.shtml?utm_source=Lavoixemploi&utm_medium=website&utm_campaign=directlink"
,FLORETTE,,Zone Actipole A2,59554,Raillencourt Sainte Olle,+33 3 27 73 67 16,Agroalimentaire-Tabac|Industrie/,prospect ,"rendez vous le 21/04/11 avec melle ambrozy_x000D_responsable RH et controle de gestion. historiquement diplomée en controle de gestion, elle souhaite évoluer vers des postes de RRH industrie._x000D_3 cadres et 10 agents de maitrise dont 4 remplacés en 2010._x000D_130 ouvriers + 40/50 intémiraires._x000D_Site de cambrai crée en 2005 - directeur usine parti dbt 2011, c'est mr gillman qui est en interim avec la direction de l'usine du sud_x000D_Le siège de l'entreprise est dans la manche._x000D_Pour les recrutements, travaille d'abord seule avec apec et voix du nord puis avec Michael Page au succès, au pourcentage de la  rem annuelle brute._x000D_OK pour bosser avec nous, à relancer fin 2011"
,FLUNCH TRAITEUR (GROUPE AGAPE),,35 Rue Denis Papin_x000D_ Parc des Près_x000D_,59650,Villeneuve d'Ascq,03 20 71 09 11,Autres Services aux Entreprises|Services - Conseil/,prospect ,"* partie traiteur de Fluch_x000D__x000D_07/06/11: Mr Willeman  : il est chargé de trier les cv et de faire passer les entretiens, me dit que c'est le service rh de flunch qui s'occupe des cabR, mais à la fin quand il soulève le manque de temps pour trier les cv je lui pérsente nos services (conseil, trie des cv, entretien...= gains de temps) et il me dit que ça peut les intéresser pour plus tard, bon contact, env mail swylleman@flunch.fr, Il a créer flunch traiteur il ya 1 ans avec son responsable et ils recherchent des commerciaux pour développer le marché vers les entreprises et les évènements > rel fin juin pour voir l'avancement du recutement_x000D_05/07/11 : Mr Willeman : en train de ce finaliser, me rappellera si besoin > rel fin d'année_x000D_21/11/11 : Mme SOLTANI : ils se sont structurés c'est Mme SOLTANI qui s'occupe des rh +la partie commercial.Elle va avoir un besoin sur un commercial, revenir vers elle fin janvier 2012, env mail ssoltani@flunch.fr_x000D_02/02/12 : """" : l'effectif est au complet, elle peut avoir des besoins sur les meme postes que salad and co si un nouveau centre s'ouvre, rel pour connaitre les projets de création"
,FORBO SIEGLING,,,59160,Capinghem,+33 3 20 17 02 80,,prospect ,Siège situé en suisse et centralise tous les recrutements._x000D_pas de main mise des RH locales.
,FORCLUM,,36 Place Cormontaigne_x000D_,59000,Lille,+ 33 3 20 22 33 77,Gros œuvre|BTP - Construction/,prospect ,"* Le Groupe est un constructeur-concessionnaire avec des opérations comme le Viaduc de Millau, l'autoroute Norscut au Portugal, la ligne ferroviaire Perpignan-Figueras._x000D__x000D_01/07 /11 Mme VILLEMINO : gère les recrutements des cadres sur le NPC , env mail : adeline.villeminot@eiffage.com, travaille déjà avec des cabR et elle a de bon rapports> rel fin d'année pour voir si l'on peut ce rencontrer"
7712Z,FRAINKIN,,6 rue de la croix bougard_x000D_BP 409,59817,LESQUIN,+33 3 20 87 50 69,Location Véhicules-Divers|Services - Conseil/,prospect ,"* Location multiservices de véhicules industriels_x000D__x000D_19/05 : contact lesquin : si besoins il font appel à la drh au siège à Paris, le siège traval avec des cabR, 01 49 03 68 00, drh@fraikin.com_x000D_19/05 : env mail > rel_x000D_25/05 : env mail > rel_x000D_27/05 :  env mail > ne prenne pas les appels entrants = envoie mail lundi et jeudi_x000D_06/06/11 : laisser cc"
,FRAIS EMBAL,,10 rue de la libération,59122,Hondschoote,+33 328 20 58 00,Agroalimentaire-Tabac|Industrie/,prospect ,Nord entreprendre promo 94_x000D_CA : 60M€ / 130 personnes_x000D_PDG s'occupe du recrutement également. ok pour travailler avec des cabinets de recrutements mais pas de besoin dans l'immédiat._x000D_envoi mail et à rappeller courant juin.
,FRAISNOR,,ZI Artoipole_x000D_Avenue d'Italie_x000D_,62223,Feuchy,+33 3 21 07 37 37 _x000D_,Agroalimentaire-Tabac|Industrie/,prospect ,"a racheté l'entreprise il y a 5 ans (2006), et n'a recruté aucun cadre depuis._x000D_structure capable d'encaisser 50% de CA supplémentaire _x000D_a recontacter l'année prochaine pour suivi dossier"
,FRANCE CARS,,10 rue de Luyot,59113,Seclin,+33 3 59 08 33 33,Location Véhicules-Divers|Services - Conseil/,prospect ,envoyé mail le 04/03_x000D_pas de besoin - envoyé carte de visite par courrier mars 2010.
,FRANCE EXPRESS,,Parc du Malantois _x000D_2 rue des Sapins,59817,LESQUIN,+33 3 20 16 17 18,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,FRANCE GOURMET,,Zone Actipole A2 59554,59554,Raillencourt Sainte Olle,+33 3 27 72 45 45,Négoce-Commerce de gros industriel|Distribution/,prospect ,Rapp début juin pour RDV. On surtout des besoins pour poste de commerciaux.
46669B,FRANS BONHOMME SA,,23 rue du chemin vert_x000D_CRT 3_x000D_,59818,lesquin,+33 3 20 87 03 03,,prospect ,"Distribution de tubes et raccords plastiques dans les domaines des canalisations , irrigations et travaux publics_x000D__x000D_*09/06/11 : contact Mme BREHIN : c'est Mr ROBERT, dir régionale qui est autonome dans les recrutements NPC, mais il y a très peu de recrutements de cadres, elle lui transfert mon mail, Mr ROBERT  travail sur Lesquin _x000D__x000D_*05/07/11 : contact Mme SHARTRER ""03 20 87 03 01"" (assitante direction régional nord Mr ROBERT) : elle a trouvé le chef de dépôt, la rel à la rentrée pour voir les besoins à venir ou ce rencontrer_x000D__x000D_13/09/11 : ""03 20 87 03 01 ligne direct Mme CHARTRER"" : en  période de budget, pas de visibilité, la rel décembre_x000D_02/12/11 : budgets voté mais ont trouvé en promotion interne 3 personne, env mail, dr803@depot.fransbonhomme.fr> rel mars 2012"
4651Z,GAME'S - ESPACE 3,,4 rue de la voyette_x000D_,59818,LESQUIN,+33 3 20 90 72 22,Distribution spécialisée|Distribution/,prospect ,ditribution de jeux video et accessoires : http://www.games.fr_x000D_VPC_x000D__x000D_13/05/11 : contact standard : envoyer un mail à Mme DEVRIEZ qui est la directrice jd@games.fr > rel s+1_x000D_17/05/11 contact Mr LEBORGNE : recrute que des cdd de 2 à la période de noël  pour emballer
,GELPASS,,,59280,Armentières,+33 3 20 48 20 48,Distribution spécialisée|Distribution/,prospect ,"* http://www.gelpass.fr/fr/index.htm_x000D__x000D_(r adv) 19/10/11 env mail : vsepieter@gelpass.com _x000D_21/10/11 : Mr SEPIETER:  2000€ pour ce recrutement (responsable adv),  il faut une personne qui est l'expérience de l'agro et de la grande distrib, rem 29k€ ; fiche de poste imprimer_x000D_02/11/11 : env mail pour info sur le poste et ok pour 15% de la rémunétion brute annuelle."
,GENERIX,,6 r Moulin de Lezennes _x000D__x000D_,59650,Villeneuve d'Ascq,+33 3 20 41 48 00,SSII|Services - Conseil/,prospect ,Appelé le 05/04_x000D_Les bureaux sont actuellement fermés.
,GEODIS,,7 avenue de la rotonde,59460,LOMME,0320084380,,prospect ,gel des recrutements externes à cause d'une réorganisation interne_x000D_ouverte aux recrutements avec cabinets même si peu ancré à date dans la politique rh régionale_x000D_a rappeller l'année prochaine._x000D_
5229A,GEODIS EUROMATIC,,bd du petit quinquin_x000D_FRETIN CRT 1,59817,LESQUIN,+33 3 28 01 06 00,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,">  manutention lourde, de transferts industriels et technologiques, de recyclage de revalorisation et du démantèlement de produits repris en clientèle, en + du démanagement et transport._x000D__x000D_11/05/11 : contact standard : c'est Mr DEVOS,dir d'agence, qui gère les recrutements, abs rap demain_x000D_12/05/11: contact assistante : période de crise, nombreux licenciements, tous passe par le siège (VITRY) 01 60 21 56 00_x000D_12/05/11: conatct RH, Mme MAS : pas de besoins, période de crise, pas de recrutement cette année, env mail pour se faire référancer (adeline.mas@geodis.com), intéréssé pas notre capacité à recruter sur toute la France, rel septembre pour n+1_x000D__x000D_"
,GEORGES DELBARD,,"ZA des 4 Vents_x000D_9, Avenue Antoine Pinay_x000D_",59510,Hem,+33 3 28 32 36 69,Distribution|,prospect ,
,GESWAY,,25 rue Hergé_x000D_ ,59650,Villeneuve d'Ascq,+33 3 28 33 89 89,,prospect ,"*Gesway conçoit et met en œuvre des solutions métier adaptées à l'activité de ses clients : gestion d'affaires pour les entreprises du bâtiment et des services professionnels, vente directe, entreprises de nettoyage, etc…_x000D_Fort du succès de ses deux principales offres, NaviBat pour le secteur du BTP, et NaviOne pour les entreprises de services industriels, Gesway développe une véritable activité d'éditeur, et distribue ses offres à l'échelon national et international au travers d'un réseau de partenaires._x000D__x000D_* recrute : pruvost@gesway.com : http://www.gesway.com/Offresdemploi.aspx#annonce_x000D__x000D__x000D_04/07/11 : contact Mr PRUVOST : env mail epruvost@gesway.com, le rappeler si on a des profils, "" profil très rare, très difficile à trouver""_x000D_06/07/11 : contact Mr PRUVOST :  j'ai trouvé 2 profils, il est très étonné, propose de ce recontrer début août, le rappeler après ses vacances début aout (voir CV dans pochette)_x000D__x000D_rdv le 16/08 à 16h30"
,GFI INFORMATIQUE,,"GFI Informatique_x000D_GFI Infrastructures et Production_x000D_17, rue Édouard Delesalle_x000D_59800 Lille",,LILLE,33 (0)3 20 12 85 48,SSII|Services - Conseil/,prospect ,INGENIEUR CONCEPTEUR MVS - H/F	LILLE	14/03/2011_x000D_H/F INGENIEUR ETUDES ET DEVELOPPEMENT J2EE	LILLE	07/03/2011_x000D_H/F INGENIEUR DEVELOPPEMENT /CHEF D'EQUIPE PHP	Metropole lilloise	07/03/2011_x000D_H/F INGENIEUR ETUDES ET DEVELOPPEMENT BI
,GL EVENTS,,Route d'Irigny _x000D_ZI Nord_x000D_ BP 40,69530,Brignais,+33 4 72 31 54 54,Services - Conseil|,prospect ,"* agence évènementielle = tous les métiers (organisation, sono, déco...)_x000D__x000D_* recrute resp commercial Nord le 28/06 : http://www.nordjob.com/clients/offres_chartees/offre_chartee_modele.aspx?numoffre=153967&de=consultation_x000D__x000D_30/06/11 : Mme VEROONE : il vient d'être lancé, accords cadre,env cc, celine.veroone@gl-events.com > rel s+3 pour voir l'avancement_x000D__x000D_26/07/11 : Mme VEROONE : va relancer le recrutement la semaine du 22/08, souhaite que je la rappelle cette semaine_x000D__x000D_25/08/11 : Mme VEROONE : elle vient de relancer le recrutement + elle a recu des candidatutes + accès à une CV thèque > souhaite que je l'a rappelle vers le 5/09 ou elle aura une vision de la difficulté > rel au retour des mes congés, bon contact_x000D__x000D_20/09/11 : Mme VEROONE : pas besoin de cabR"
3320C,GLE,,2 rue du fort_x000D_CRT 3_x000D_,59818,LESQUIN,+33 3 20 77 50 10,,prospect ,"métalurgie, travail du métal_x000D_pas de site @ et autres infos_x000D__x000D_10/05/11 : a du fermer"
,GOLDEN EYES,,,,Villeneuve d'asq,+33 3 59 57 70 07,Marketing|Services - Conseil/,prospect ,"* http://www.golden-eyes.com/_x000D__x000D_11/10/11 : Mme Lepoutre me dit de lui envoyer un mail pour qu'elle le transfert au services concernés flepoutre@golden-eyes.com_x000D_21/10/11 : les chefs de services sont très occupés_x000D_28/10/11 : dir technique pas de besoins (il été occupé), essayé de reprendre contact avec  Mme LEPOUTRE_x000D_01/01/11 : Mme LEPOUTRE : plus de budget > revenir vers elle en mars 2012_x000D_13/03/12 : """"_x000D_13/06/12: mail env ce 13/06, n'est pas au courant des recrutements en cours...va trannsférer aux chefs de service et si besoin me recontacte flepoutre@golden-eyes.com"
,GRAIN DE MALICE,,,59100,Roubaix,+33 3 20 99 60 60,Distribution|,prospect ,"25/05/11 : recrute différents poste, connait sebastien"
,GRAINOR,,"13, BD PAUL BEZIN ",59400,Cambrai,+33 3 27 81 75 22,Négoce-Commerce de gros industriel|Distribution/,prospect ,Sont très peu au siège en administratif. Recrute surtout des magasiniers par annonce dans la Vois du Nord et des commerciaux. Les commerciaux sont soit des enfants de leurs clients (agriculteurs) soit ils passent par Apecita (cabinet dans le domaine agricole). Pas de recrutement de commerciaux prévu pour 2011.
,GROUPE AGAPES  (SALAD AND CO),,,,villeneuve d'asq,+33 3,,prospect ,"* dg : Thierry MAROYE  ; rh :"" Manon GRAVET"" ; env mail mgravet@saladandco.fr ; elle vient de reprendre le dossier doit se remettre dedans > rel dans 3 semaine"
,GROUPE BERTO NORD,,480 ruelee dufour,59850,Nieppe,03 20 44 07 77,Services - Conseil|,prospect ,H/F Directeur(trice) de filiale
,GROUPE BIGARD,,,,,0321030313,Agroalimentaire-Tabac|Industrie/,prospect ,recrute uniquement des ouvriers sur candidature spontanée.
,GROUPE CMH - VILLOGIA,,74 rue jean jaures,59664,Villeneuve d'ascq,+33 3 59 35 50 00,Habitation – Gestion locative|Immobilier/,prospect ,
,GROUPE NOIRET,,"4, Rue Mascara _x000D_ _x000D__x000D__x000D_",,ROUBAIX,03 23 07 51 30,Industrie|,prospect ,Appele le 16/03_x000D_Audrey ZGODA est presente seulement le matin (lieu Aisne).
,H,,,,,+33 3 21 13 28 00,,prospect ,
,HAAGEN DAZS,,,,ARRAS,0321501919,Agroalimentaire-Tabac|Industrie/,prospect ,drh ne prend pas les contacts_x000D_travaille avec michael page et alliance emploi. ne veut pas _x000D_estelle.dessaint@genmills.com
,HACOT-COLOMBIER,,"94, Rue Victor Hugo ",59116,Houplines,03 20 77 86 77,Distribution|,prospect ,"Appelé le 16/03, Veronique VERMEULIN n'est pas joignable."
4725Z,HENRI MAIRE,,rue du pic au vent_x000D_Bât CRT espace services CRT 1,59817,LESQUIN,+ 33 3 20 90 96 73,Distribution spécialisée|Distribution/,prospect ,"*vente et distibution de vins_x000D__x000D_*contact stand : appeler siège 03 84 66 12 34 (jura?)_x000D_*contact Mr RECEVAUX : il gère les RH des vrp, déja travaillé avec des cab de R > échec + coût : les candidats ne restent pas, rap lundi  (06.63.48.00.51)  pour convenir d'un RDV téléphonique >  période de recrutement_x000D__x000D__x000D__x000D_"
,HERTA SAS,,ZI_x000D_Route d'Ostreville_x000D_,62130,Saint Pol sur Ternoise,+33 3 21 04 19 00,Agroalimentaire-Tabac|Industrie/,prospect ,cf action_x000D_30/05 : rappel suite à 1er échange. pas de recrutements cadres en cours. recrute un electromécanicien mais uniquement via interim._x000D_à rappeller début septemebre pour suivi dossier. en vacances en aout!
7732Z,HERTZ EQUIPEMENT,,15 rue du mt de terre_x000D_crt 2,59818,lesquin,+33 3 20 87 07 07,Location Véhicules-Divers|Services - Conseil/,prospect ,"*location de matériel pour le btp, industrie et évènementiel_x000D_*onglet emploi : recrute dans npc_x000D__x000D_16/05/11 : me donne les cc de la  direction régionale : 03 20 16 03 90_x000D_16/05/11 : contact standard dir régionale : me donne les cc de Md SERRANO , gserrano@hertz.com, s'occupe du NPC + rhone alpes + ile de france, passe des agences interim pour les postes ""mécanique"" , elle est dans toute la France > env mail_x000D_> ne prends pas les appels = renv mail _x000D_21/06/11 : aucun retour > rel rentrée"
,HIOLLE INDUSTRIE - ENERGIE MATRIX,,,59121,Prouvy,0327475000,,prospect ,ne prend pas le tel - répond uniquement aux mails. Travaille toujours avec le même cabinet de recrutement.
,HOLDER,,344 avenue de la Marne_x000D_,59704,MARCQ EN BAROEUL,+33 3 20 78 32 32,Industrie|,prospect ,Appelé le 29/03_x000D_Pas joignable pour le moment.
,HOUTCH,,,02,FRESNOY LE GRABD,+33 3 23 09 34 00,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,pas de recrutement hormis conducteurs de camions.
,I.C.E.A. INFORMATIQUE-CONSEIL-EQUIPEMENT-ASSISTANCE,,54 Avenue Roger Salengro_x000D_,62223,Saint Laurent Blangy,03 21 60 57 30,Services - Conseil|,prospect ,COMMERCIAL INFORMATIQUE - H/F
,ID 3COM,,Batiment Le Jacquard_x000D_25 rue Corneille ,59100,Roubaix,+ 33 3 20 76 37 30,Services - Conseil|,prospect ,"*   imagine et réalise des applications en 3D interactive inédites qui permettent d'augmenter les ventes et de multiplier l'intérêt d'un site e-commerce. _x000D_* http://www.idees-3com.com/accueil_x000D__x000D_16/06/11 : Mr FLAMANT :  les recrutements sont souvent du aux stages ou recrute par @, rel rentrée, env mail jmflamant@idees-3com.com_x000D_14/09/11 : contact Mr RINGEVAL (associé) : vient de recruter 2 commerciaux, pas de besoins mais une problèmatique de recrutement ""en zone franche"" sur les postes de développeurs. > rel  fin année pour prise de contact_x000D_04/01/11 : le relancer mi février, doit encore prendre la décision avec son associé pour le recrutement d'un dev et/ou assitante co_x000D_09/02/12 :"""" prendre contact avec Marie Alix ROHARD, assistante, recherche assisatante commerciale et homme polyvalent_x000D_14/02/12 : Madame ROHART : recrute un agent d'entretien, env mail si autre besoin marohart@idees-3com.com_x000D_21/03/12: mail env ce jour, reviendra vers moi si besoin...mais ne pas hésiter à la recontacter + tard"
,IDENKA,,3 rue maracci,59000,Lille,0320511523,,prospect ,rencontré en mai 2010 pour recrutment de commerciauxs._x000D_pas donné suite car pas de moyens
,IDGROUP,,162 bd Fourmies 59100 ROUBAIX _x000D__x000D__x000D_,59100,Roubaix,+33 3 28 33 99 33,Distribution spécialisée|Distribution/,prospect ,
,IKOMOBI,,5 rue Héloise,59650,Villeneuve d'Ascq,+33 3 66 72 00 90,Internet-Télécommunications|Services - Conseil/,prospect ,"MIS EN RELATION PAR JEOFFREY CATTYN, candidat pour developpeur chez rouge interactif._x000D_mise en relation par viadeo : 12/05/2011_x000D__x000D__x000D_10/06/11 contact  Mme MONTAIGNE : elle a été placé par sebastien chez Oxygem il y a quelques temps, lui envoyer un mail pour qu'elle échange avec Mr BAYARD > ludivine@ikomobi.com_x000D_20/06/11 contact Mme MONTAIGNE : me dit de rap le 28/08_x000D_28/06/11 : Mme MONTAIGNE : Mr BAYARD à un planning très chargé, il fera appel à nous si il a un besoin, mais ce n'est pas dans l'immédiat, > reprendre contact nov11_x000D_ligne direct Mme MONTAIGNE : 03 66 72 00 90_x000D_28/10/11 : Mme MONTAIGNE : pas de recrutemennt avant la fin de l'année_x000D_05/04/12: mme montaigne: très gentille, mais pas de projets en cours, ne pas hésiter à la recontacter régulièrement....mail env ce 5/04 avec coordonnées_x000D_2/05: la rappeler le jeudi 10/05 pour point...elle va me passer directement la personne en charge du recrutement...elle ne réceptionne q les CV....c'est THIBAULT EGGERMONT?? qui s'en charge me dit elle....la recontacter_x000D_11/05: contact avec mme montaigne, lui transfère mon mail, rappeler mr eggermont fin mai??_x000D_19/06 : rapp mr eggermont ce 20/06!!! 03 66 72 00 90_x000D_21/06: doit revenir vers moi si besoin sinon, la rappeler en septembre..."
,IMPRIMERIE ARTESIENNE,,Rue François Jacob_x000D_,62800,Lievin,+33 3 21 72 78 90,Services - Conseil|,prospect ,COMMERCIAL
,IMPROVEEZE,,,,tourcoing,+33 3 66 72 13 46,,prospect ,"* http://www.improveeze.com/_x000D__x000D_17/06/11 : env mail, Mr DUHEM est peu dispo , max@improveeze.com ;                                                                                                                         20/06/11 : contact Mr  DUHEM : des besoins vont arriver pour septembre, me conseille de le rappeler à ce moment là_x000D_20/09/11 : recrute deux postes de developpeur en dote.net phr?, c'est le pdg Mr DISLAIRE qui va s'occuper du recrutement, env mail à Mr DUHEM pour qu'il organise un rdv gregory.duhem@improveeze.com_x000D__x000D_20/09/11 : Mr DISLAIRE ; le rel début d'année ce n'est pas l'urgence e souhaite recruter par cooptation_x000D_12/04/2012: ce n'est pas mr duhem le bon interlocuteur, rapp mr dislaire + tard car n'est pas dispo_x000D_portable de mr dislaire?? 06 82 12 70 07_x000D_16/04/12: j'ai eu mr dislaire ce jour au tél, a pris mes coord... le recontacter vers fin mai début juin pour refaire un point... + mail env ce jour_x000D_27/06:j'ai eu Maxence Dislaire ce jour, très sympa, n'ont pas de réels besoins actu...encore un peu tôt pour embaucher...mais en 2013...certainement q oui....propose de lui env qq slides pour alimenter son kiosque interactif....à suivre"
,IN EXTENSO,,Parc d'Entreprises de l'Horlogerie_x000D_Rue de l'Horlogerie - BP 16,62403,betune,+33 3 21 64 70 30,Autres Services aux Entreprises|Services - Conseil/,prospect ,"* cabinet de comptable_x000D__x000D_http://www.l4m.fr/entreprise/pas-de-calais/bethune/administratif-gestion-et-finance/in-extenso-1056_x000D__x000D_09/06/11 contact Mme RAMOS  : elle m'explique que c'est Mr POTTIE qui gère les partenariats avec les cabR,mais il ne souhaite plus avoir de rdv car  aucun retours des cabR après un rdv,il souhaite de l'envoie de cv et si le cv est bon = il contact l'agence, Mme RAMOS s'occupe de la réception des cv et des entretiens, elle me soulève un besoin urgent de recruter sur Armentière, me dit d'envoyer notre plaquette pour la transférer à Mr POTTIE, j'insite sur le fait de ce renconter, dorothee.ramos@inextenso.fr > rel vendredi soir_x000D__x000D_14/06/11: contact Mme RAMOS  : lui proposer des cv pour le poste de chargé de clientèle sur Armentiere et si les CV sont + = rdv_x000D_23/06/11 : env propal_x000D_29/06/11 : Mme RAMOS : elle fait au mieux pour me faire un retour sur la propal_x000D_en congé jusq'au 22/08_x000D_25/08/11 : toujours pas d'accord de Mr POTTIE > rel"
,INATIS,,"200, rue de Roubaix_x000D_59200 TOURCOING",,TOURCOING,+33 3.20.68.55.00,Conseil en ingenierie,prospect ,Responsable d'atelier H/F	Saint saulve	08/03/2011_x000D_Technicien R&D Process et Méthodes - H/F	Saint Saulve	07/03/2011_x000D_Technicien méthodes maintenance - H/F
,INCOMM,,"17, avenue des Mondaults",33 270,FLOIRAC,0810 600 145,Services - Conseil|,prospect ,"* agence web_x000D_* http://www.incomm.fr/_x000D__x000D_22/06/11 contact Mme BRUNO : appel d'offre, recrute 4 directeurs d'agence : urgence = Strasbourg et Lyon et moins urgent Paris et Lille, souhaite échanger par mail,  lbruno@incomm.fr, intéréssée par ma présentation _x000D_22/06/11 : contact Mme BRUNO : souhaite un devis pour deux dg d'agence_x000D_27/06/11 : Mme BRUNO : la direction est entrain de consulter toutes les propositions des cabR, elle doit revenir vers nous cette semaine (voir propal)_x000D_05/07/11 : va recruter en interne, ne pensait pas que le côut à être aussi élevé > la relancer fin aout et voir le candidat de dorothée"
4231B,INEO,,18 rue de la voyette_x000D_CRT 2_x000D_BP 218,59812,LESQUIN,+33 3 20 90 42 50,Electricité-Eclairage|Industrie/,prospect ,"* filliale du groupe gdf suez_x000D_*acteur majeur du génie électrique, des systèmes d’information, des systèmes de communication et des services associés. Fort de 14 500 professionnels répartis dans ses 300 implantations, INEO dispose d’expertises diversifiées sur l’ensemble de l’hexagon_x000D_*onglet emploi :_x000D__x000D_16/05/11: contact stand :le recrutement est gérer par le directeur d'agence et validé par Mr LOUX ( siège 76) , DRH, qui ce déplace sur le site._x000D_Md CHATELET, sur le site de Lesquin receptionne les CV._x000D_Ligne direct Mr LOUX : 02 32 81 91 40_x000D_Md CHATELET : virginie.chatelet@ineo-gdfsuez.com_x000D__x000D_16/05/11 : contact Mr LOUX : pas de besoins pour cette année, accords cadre, envoyer un mail recrutement.ineo@ineo-gdfsuez.com, passe très peu par des cabinets de recrutement"
,INGEDIA FACILITEUR,,5 Rue Pierre de Coubertin ,59600,Maubeuge,+33 3 27 68 84 81,BTP - Construction|,prospect ,Appelé le 29/03_x000D_Mr VANOREMBERGUE
,INGREDIA,,"51-53, Avenue Fernand Lobbedez B.P. 60946 / 62033 Arras Cedex",62033,ARRAS,+33 3 21 23 80 00,Agroalimentaire-Tabac|Industrie/,prospect ,"Melle georges s'occupe interim et CDD usine, pas de besoin en externalisation_x000D_Travaille uniquement avec Adequalys."
,INICIO,,100 rue Lannoy_x000D_59650 Villeneuve d'Ascq_x000D_Téléphone : ,,,+33 9 51 67 46 08,SSII|Services - Conseil/,prospect ,"*SSII_x000D_*http://www.inicio.fr/qui-sommes-nous.html_x000D__x000D__x000D_05/07/11 : Mme GALLUS : recrute différents profils, travaille avec des cabR, int de nous rencontrer, RDV le 07/07/11 à 14h30"
7150B,INSTITUT DE SOUDURE,,rue des famards_x000D_acticentre bat J CRT 1,59818,LESQUIN,+33 3 20 96 14 54,Services - Conseil|,prospect ,"*services proposés : _x000D_• Assurer la conformité et le meilleur niveau de qualité des constructions neuves, _x000D_• Accroître la productivité et la compétitivité en fabrication soudée, _x000D_• Augmenter la sécurité et la durée de vie des installations, réduire les temps d’arrêts et les coûts de maintenance._x000D__x000D_* onglet emploi : c'est Mme GONCALVES qui s'oocupe des recrutements, 01.49.90.36.00, a.goncalves@institutdesoudure.com, 93420 VILLEPINTE_x000D__x000D_25/05/11 : recrute peu de cadre"
,INTER COUNTRY MANAGEMENT,,7 ter bord des eaux - espace neptune_x000D_batiment hyppocampe,62110,Henin Beaumont,+33 3 21 13 75 20,Enseignement|Services - Conseil/,prospect ,nord entreprendre promotion 1996_x000D_50P et CA de 1.7M€. Objectif 5M en 2013.
,J.MAES,,92 rue constantine_x000D_,,boulogne sur mer,03 21 30 62 66,Industrie|,prospect ,Appele le 21/03_x000D_Envoyer dans un premier la plaquette du cabinet
,JEAN CABY SAS,,"40 Rue Gare, ",,Saint-André-lez-Lille,03 20 40 57 00,Industrie|,prospect ,Appelé le 21/03_x000D_RAPPELER FREDERIC ANCELY 
