TYPE;N°;Ref Produit;Produit principal;Quantité;Min;Max;option_incluse;option_incluse_obligatoire;Afficher sur le site;Ordre;Lignes de produits visible;visible_sur_pdf;Prix d'achat dont ecotaxe
FRAIS DOSSIERS;53;Frais36;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;54;Frais36;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;55;Frais60;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;56;Frais60;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;57;Frais36;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;58;Frais60;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;59;Frais60;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;60;Frais36;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;61;Frais36;non;1;1;1;non;non;non;9999;non;non;35
FRAIS DOSSIERS;62;Frais36;non;1;1;1;non;non;non;9999;non;non;35
