"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";" prix ";"id_facture_ligne";"type_facture"
"DBT";"FLI19070136";22/07/2019;"Gestion DNS primaire et secondaire";22/07/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"4.00";" 12.00 ";44232;"avoir"
"DBT";"FLI19070136";22/07/2019;"Espace d'hébergement mutualisé pour site Internet CMS WordPress - Serveur LAMP - Accès FTP / phpMyAdmin - Réservation pour une année, renouvelable par tacite reconduction. (dbtcev.com)";22/07/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 72.00 ";44233;"avoir"
"DBT";"FLI19070136";22/07/2019;"Réservation de domaines .fr :  dbtcev.fr  / dbtgroupe.fr  - Réservation pour une année, renouvelable par tacite reconduction.";22/07/2019;"VENTE DE DOMAINES";"VENTE D'ABONNEMENTS";"service";"2.00";" 25.00 ";44234;"avoir"
"DBT";"FLI19070136";22/07/2019;"Réservation de domaines .com : dbtcev.com  /dbtgroupe.com - Réservation pour une année, renouvelable par tacite reconduction.";22/07/2019;"VENTE DE DOMAINES";"VENTE D'ABONNEMENTS";"service";"2.00";" 12.00 ";44235;"avoir"
"Promer";"FLI19070137";24/07/2019;"Régularisation Tickets négatifs - toutes entités confondues";24/07/2019;"PRESTATIONS - ABO RENOUV";"PRESTATIONS INFRA";"service";"15.50";" 72.00 ";44236;"facture"
"Promer";"FLI19070137";24/07/2019;"Crédits de maintenance et support technique (Valables pour les comptes hotline AbsysTech et/ou AbsysTech Telecom)";24/07/2019;"PRESTATIONS - ABO RENOUV";"PRESTATIONS INFRA";"service";"5.00";" 78.00 ";44237;"facture"
"Promer";"FLI19070137";24/07/2019;"Remise commerciale de 5% due à l'autorisation de prélèvement automatique";24/07/2019;"PRESTATIONS - ABO RENOUV";"PRESTATIONS INFRA";"service";"1.00";" -75.30 ";44238;"facture"
"FOURNIL ST PIERRE";"FLI19070138";29/07/2019;"HP 19A - noir - kit tambour";29/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";" 62.00 ";44239;"facture"
"FOURNIL ST PIERRE";"FLI19070138";29/07/2019;"HP 17A - Noir - originale - LaserJet - cartouche de toner - Capacité : 1600 pages";29/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"2.00";" 54.00 ";44240;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Epson - Kit pour rouleau de chargement - pour WorkForce DS-310 (12 mois de garantie retour atelier)";29/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"3.00";" 29.90 ";44241;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Epson ensemble de coussinets pour séparation - pour WorkForce DS-310";29/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"3.00";" 24.90 ";44242;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Prestation d'installation du kit pour rouleau de chargement et de l'ensemble des coussinets pour séparation sur la WorkForce DS-310 de Lille (les autres petits équipements Epson seront déposés sur les sites de Marcq-en-Baroeul et Seclin par anticipation)";29/07/2019;"PRESTATIONS INFRA";"PRESTATIONS INFRA";"service";"1.00";" 45.00 ";44243;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Samsung SSD 860 EVO, 250 Go - SSD Interne SATA III 2.5"" (Garantie 5 ans)";29/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"2.00";" 80.00 ";44244;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Prestation forfaitaire de récupération des données et leur migration vers le disque dur SSD (prestation sau sein des cabinets de Lille et Marcq-en-Baroeul)";29/07/2019;"PRESTATIONS INFRA";"PRESTATIONS INFRA";"service";"2.00";" 72.00 ";44245;"facture"
"Imagerie Medicale Jacquemars GIELÉE";"FLI19070139";29/07/2019;"Forfait déplacement sur sites (< 50 Km)";29/07/2019;"PRESTATIONS INFRA";"PRESTATIONS INFRA";"service";"1.00";" 69.00 ";44246;"facture"
"DOURDIN";"FLI19070140";29/07/2019;"Audit du système d'information, vérification des tâches à effectuer pendant les absences de M. Campion. Vérification des droits d'accès  aux serveurs et applications à gérer";29/07/2019;"PRESTATIONS INFRA";"MAINTENANCE INFRA";"service";"1.00";" 780.00 ";44247;"facture"
"Lestienne Immobilier";"FLI19070141";30/07/2019;"HP 250 G7 - Core i3 7020U / 2.3 GHz - Win 10 Pro 64 bits - 4 Go RAM - 500 Go HDD - graveur de DVD - 15.6"" 1366 x 768 (HD) - HD Graphics 620 - Wi-Fi, Bluetooth - cendres argent sombre - kbd : Français AZERTY";30/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"3.00";" 452.00 ";44248;"facture"
"Lestienne Immobilier";"FLI19070141";30/07/2019;"Samsung 860 EVO MZ-76E250B - Disque SSD - chiffré - 250 Go - interne - 2.5"" - SATA 6Gb/s - mémoire tampon : 512 Mo - AES 256 bits - TCG Opal Encryption 2.0";30/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"3.00";" 59.00 ";44249;"facture"
"Lestienne Immobilier";"FLI19070141";30/07/2019;"Forfait installation Base : [nl]Pré-installation de Windows [nl]Installation des mises à jour Windows [nl]Livraison sur site si < 20 km[nl]Garantie constructeur";30/07/2019;"PRESTATIONS INFRA";"PRESTATIONS INFRA";"service";"3.00";" 49.00 ";44250;"facture"
"Lestienne Immobilier";"FLI19070141";30/07/2019;"Prestation installation, configuration et mise en service OS sur disque dur SSD";30/07/2019;"PRESTATIONS INFRA";"PRESTATIONS INFRA";"service";"3.00";" 43.00 ";44251;"facture"
"2d Developpement";"FLI19080001";01/08/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";44254;"facture_periodique"
"2d Developpement";"FLI19080001";01/08/2019;"Licence 1 poste avec option Serenity (par mois)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 6.00 ";44255;"facture_periodique"
"A2PR Ingénierie";"FLI19080002";01/08/2019;"Microsoft Office 365 Business - Comprend Outlook, Word, Excel, PowerPoint, OneNote, Access et OneDrive - Inclus Support Hotline AbsysTech illimité";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.30 ";44257;"facture_periodique"
"ACE SOFEC";"FLI19080003";01/08/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";44260;"facture_periodique"
"ACE SOFEC";"FLI19080003";01/08/2019;"Licence 1 poste avec option Serenity (par mois)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"3.00";" 6.00 ";44261;"facture_periodique"
"Actarea Consulting";"FLI19080004";01/08/2019;"Compte mail Exchange Outlook 365";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";44263;"facture_periodique"
"APM & COMPAGNIE";"FLI19080005";01/08/2019;"La fourniture d'un nom de domaine tuttifani.fr - La mise à disposition d'un espace de stockage de 10 Go (PHP7) - 5 bases de données MySQL - 5 comptes emails Echange Outlook 365 - Les éléments actifs de sécurité (Monitoring des sites 24/24, Filtrage actif d'IP pour bloquer les tentatives d'attaques, Scan mensuel du site contre les malwares) -  La sauvegarde sur 7 jours des bases de données et des sites - L'accès au support illimité pour les problèmes d'hébergement ou de mails - La gestion des Ports (illimit";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";44266;"facture_periodique"
"APM & COMPAGNIE";"FLI19080005";01/08/2019;"Nom de domaine supplémentaire : tutti-fani.com, tuttifani.com, tutti-fani.fr";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"3.00";" 1.90 ";44267;"facture_periodique"
"Assistec Etudes";"FLI19080006";01/08/2019;"Compte mail Exchange Outlook 365";01/08/2019;"VENTES MARCHANDISES - ABO RENOUV";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 8.20 ";44269;"facture_periodique"
"ASTRADEC";"FLI19080007";01/08/2019;"Compte utilisateur sécurisé";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 5.00 ";44271;"facture_periodique"
"ATOUTCOMS";"FLI19080008";01/08/2019;"Compte de messagerie Exchange Outlook 365 avec support technique illimité (Office 365 Full / Entreprise E3) [nl]Comprend entre autres Office Online + Office Offline sur 5 PC Windows ou Mac - Offre sans engagement.";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 21.70 ";44427;"facture_periodique"
"ATOUTCOMS";"FLI19080008";01/08/2019;"frais de prélèvement du 15/07/19 rejeté";01/08/2019;"VENTES DE MARCHANDISES";"INCONNUE";"marchandise";"1.00";" 20.00 ";44428;"facture_periodique"
"ATOUTCOMS";"FLI19080009";01/08/2019;"Client E2B2: Mise à disposition sans engagement - LENOVO LT2323PWA GRADE A/ LCD/ 23/ 16/9/ VGA/ DVI/ DISPLAY PORT";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"5.00";" 10.00 ";44284;"facture_periodique"
"ATOUTCOMS";"FLI19080009";01/08/2019;"Pour le client E2B2: Mise à disposition sans engagement - HP EliteBook 820 G1 - Grade A - Intel Core i5 4300U 1,9Ghz - 8Go RAM - 240Go SSD - Ecran 12,5 pouces LED 1366x768 - Webcam - Microsoft Windows 10 Pro - Avec station d'accueil";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 28.00 ";44285;"facture_periodique"
"ATOUTCOMS";"FLI19080009";01/08/2019;"Pourle client E2B2: Mise à disposition sans engagement - LENOVO M93P THINKCENTRE 10AA-S0551A GRADE A/ TINY/ I5 4570T 2.9GHZ 4 159,00 10% 572,40 V20 4 Gb / 500Go SATA / Windows 10 Pro";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"4.00";" 20.00 ";44286;"facture_periodique"
"CAP Recouvrement";"FLI19080010";01/08/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement avec support technique illimité";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"16.00";" 15.50 ";44288;"facture_periodique"
"CONFINANCIALIS";"FLI19080011";01/08/2019;"Microsoft Office 365 Business - Offre sans engagement - Licence d'abonnement ( 1 mois ) - 1 utilisateur - agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook, OneNote et PowerPoint) [nl] Support hotline AbsysTech illimité pour les problématiques de compte de messagerie";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.30 ";44290;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080012";01/08/2019;"AbsysTech Cloud Backup Pack Business - Jusque 1To de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 448 bits - Support par ticket hotline - Support téléphonique - Pas de limite du nombre de postes sauvegardés - Accès aux options Serenity et Boost recovery - Forfait ajustable (par mois) - Engagement 1 an";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";44293;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080012";01/08/2019;"Licence 1 poste avec option Serenity (par mois)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 6.00 ";44294;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080013";01/08/2019;"Maintenances préventive et proactive mensuelles d'un SonicWall TZ400 avec surveillance et mises à jour incluses (10% de remise incluse)";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 54.00 ";44298;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080013";01/08/2019;"Controller Unifi - Interface web centralisée (outil de gestion)- Politique de sécurité - Prévention d'intrusion - Qualité de service (QoS) avec réservation de la bande passante - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID (plusieurs réseaux distincts possibles - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech - Génération identifiants et mots de passe pour l'administrateur interne - Supervision de l'";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 5.00 ";44299;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080013";01/08/2019;"Maintenance mensuelle à distance du serveur HPE ProLiant ML350 Gen9 Implique chaque mois le monitoring du serveur, la vérification de la politique de sécurité et les corrections mineures éventuellement nécessaires (type maintenance préventive)";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 58.00 ";44300;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080014";01/08/2019;"Compte de messagerie Exchange Outlook 365 (Office 365 standard) avec Office Online et support technique illimité";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"23.00";" 24.70 ";44304;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080014";01/08/2019;"Gestion des DNS (serveur gérant le Système de Noms de Domaine) - Offre sans engagement";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 2.00 ";44305;"facture_periodique"
"COURTAGE - FINANCE - GESTION";"FLI19080014";01/08/2019;"Réservation d'un nom de domaine en .fr - Domaine : cfgfinance.fr - Offre sans engagement";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 1.90 ";44306;"facture_periodique"
"Design d'O";"FLI19080015";01/08/2019;"Maintenance, Infogérance, Sauvegarde et Monitoring";01/08/2019;"PRESTATIONS INFRA";"MAINTENANCE INFRA";"service";"1.00";" 100.00 ";44309;"facture_periodique"
"Design d'O";"FLI19080015";01/08/2019;"Location Serveur dédié - Intel Xeon i7 W3520 - 24Go DDR3 - 2x2To RAID1";01/08/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 159.00 ";44310;"facture_periodique"
"DOURDIN";"FLI19080016";01/08/2019;"Infogérance Kaspersky Antivirus - Pilotage et supervision de l'état des antivirus sur console de management centralisée (pour 3 ans) - Soit 0,80 ¤ HT/mois/machine";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"85.00";" 0.80 ";44312;"facture_periodique"
"ECKLIPSE";"FLI19080017";01/08/2019;"AbsysTech Cloud Backup Pack Starter - Jusque 100Go de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 128 bits - Support par ticket hotline - Support téléphonique - Limité à 1 poste utilisateur par compte";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 25.00 ";44314;"facture_periodique"
"Equipmo";"FLI19080018";01/08/2019;"Compte mail Exchange Outlook 365";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";44316;"facture_periodique"
"FXM EVENEMENTS";"FLI19080019";01/08/2019;"AbsysTech Cloud Backup Pack Business";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 50.00 ";44322;"facture_periodique"
"FXM EVENEMENTS";"FLI19080019";01/08/2019;"Licence 1 poste avec option Serenity (par mois) - Engagement d'un an";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 6.00 ";44323;"facture_periodique"
"FXM EVENEMENTS";"FLI19080019";01/08/2019;"500 Go d'espace de stockage supplémentaire dans le cadre de la sauvegarde et la sécurisation de vos données par le biais d'AbsysTech Cloud Backup - Pack Business";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 20.00 ";44324;"facture_periodique"
"FXM EVENEMENTS";"FLI19080020";01/08/2019;"Microsoft Office 365 Business - Offre sans engagement - Licence d'abonnement ( 1 mois ) - 1 utilisateur - agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook et PowerPoint) [nl] Support hotline AbsysTech illimité";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 15.50 ";44326;"facture_periodique"
"Gan Assurances";"FLI19080021";01/08/2019;"Microsoft Office 365 Business Essentials - Licence d'abonnement ( 1 an ) - 1 utilisateur - hébergé - agréé Microsoft - MOLP: Open Business - Open - Single Language [nl]Support technique AbsysTech illimité pour toute action corrective au bon fonctionnement du compte Office 365";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 9.20 ";44329;"facture_periodique"
"Gan Assurances";"FLI19080021";01/08/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement - 1 utilisateur - hébergé - agréé Microsoft - Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise) [nl]Support technique AbsysTech illimité pour toute action corrective au bon fonctionnement du compte Office 365";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 15.50 ";44330;"facture_periodique"
"Iconex Ingénierie";"FLI19080022";01/08/2019;"Microsoft Project Online Professionnel - Licence valable pour un maximum de 5 PC par utilisateur - Inclus logiciel Microsoft Project et gestion de projet dans le Cloud via un navigateur Web";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 27.80 ";44333;"facture_periodique"
"Iconex Ingénierie";"FLI19080022";01/08/2019;"Microsoft Office 365 Business - Comprend Outlook, Word, Excel, PowerPoint, OneNote, Access et OneDrive - Inclus Support Hotline AbsysTech illimité";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 10.30 ";44334;"facture_periodique"
"Iconex Ingénierie";"FLI19080023";01/08/2019;"Prestation en régie - 3 prestations de 7 heures par an";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 190.00 ";44336;"facture_periodique"
"Insitaction";"FLI19080024";01/08/2019;"Controller Unifi - Interface web centralisée (outil de gestion)- Politique de sécurité - Prévention d'intrusion - Qualité de service (QoS) avec réservation de la bande passante - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID (plusieurs réseaux distincts possibles - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech - Génération identifiants et mots de passe pour l'administrateur interne";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"5.00";" 5.00 ";44338;"facture_periodique"
"Interface";"FLI19080025";01/08/2019;"Microsoft Office 365 Business - Licence d'abonnement - 1 utilisateur - Offre sans engagement - Une licence comprend les logiciels Office complets installés sur 5 PC ou Mac, 5 téléphones et 5 tablettes par utilisateur - Agréé Microsoft - MOLP: Open Business - Open (Comprend Word, Excel, Outlook, PowerPoint et OneNote + Publisher et Acess sur PC uniquement)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 10.60 ";44340;"facture_periodique"
"KOYTCHA CONSEIL";"FLI19080026";01/08/2019;"kip.re / Abonnement Hébergement Pro";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";44345;"facture_periodique"
"KOYTCHA CONSEIL";"FLI19080026";01/08/2019;"koytchaconseil.com / Abonnement Hébergement Pro";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";44346;"facture_periodique"
"KREATIC";"FLI19080027";01/08/2019;"Serveur Cloud évolutif Classe Entreprise : 2 vPCU - RAM 8 Go - 50 Go d'espace de stockage haute performance dont 8 Go de SWAP - 300 Go d'espace de stockage normal - 5000 iops - SLA : 99,95%";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 135.20 ";44352;"facture_periodique"
"KREATIC";"FLI19080027";01/08/2019;"Firewall Fortinet « nouvelle génération » avec fonctionnalités avancées : anti-intrusion, antivirus de flux, filtrage d'url, filtrage protocolaire et contrôle applicatif";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 35.00 ";44353;"facture_periodique"
"KREATIC";"FLI19080027";01/08/2019;"Adresse IP supplémentaire";01/08/2019;"VENTE D'ABONNEMENTS";"VENTES DE MARCHANDISES";"marchandise";"1.00";" 2.50 ";44354;"facture_periodique"
"KREATIC";"FLI19080027";01/08/2019;"Maintenance base 5j/7 Monitoring basique du serveur";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 200.00 ";44355;"facture_periodique"
"KREATIC";"FLI19080027";01/08/2019;"Serveur Plesk Web Host Edition - Engagement annuel :  Domaines illimités  WordPress Toolkit  Pack de développeur  Gestion des abonnements  Gestion de compte";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 36.00 ";44356;"facture_periodique"
"L'Atelier Webmarketing";"FLI19080028";01/08/2019;"Maintenance, Infogérance, Sauvegarde et Monitoring";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 180.00 ";44358;"facture_periodique"
"Mairie de Carency";"FLI19080029";01/08/2019;"Abonnement Hébergement  comprenant: La fourniture d'un nom de domaine en « .fr » - La mise à disposition d'un espace de stockage de 1 Go (PHP7) - 5 bases de données MySQL - Les éléments actifs de sécurité (Monitoring des sites 24/24, Filtrage actif d'IP pour bloquer les tentatives d'attaques, Scan mensuel du site contre les malwares) - La sauvegarde sur 7 jours des bases de données et des sites - L'accès au support illimité pour les problèmes d'hébergement ou de mails - La gestion des Ports (illimité) - L";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";44360;"facture_periodique"
"MAISON BALLESTER SENECHAL";"FLI19080030";01/08/2019;"Microsoft Office 365 (Plan E3) - Licence d'abonnement ( par mois ) - 1 utilisateur - hébergé - agréé Microsoft - MOLP: Open Business - Open - Single Language - Support inclus";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 24.70 ";44362;"facture_periodique"
"Mortreux SAS";"FLI19080031";01/08/2019;"Maintenances préventive et proactive mensuelles avec mises à jour incluses, Routeur SonicWALL SOHO . Dispositif de sécurité - 5 ports - 10Mb LAN, 100Mb LAN, GigE (engagement de 36 mois)";01/08/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE INFRA";"service";"1.00";" 60.00 ";44364;"facture_periodique"
"Nadia Canonne Avocats";"FLI19080032";01/08/2019;"Compte mail Microsoft Exchange 365 (boîte aux lettres de 50 Go/utilisateur). Exchange Online pour : nc@nadiacanonneavocats.com, contact@nadiacanonneavocats.com , lj@nadiacanonneavocats.com, simon.fromont@nadiacanonneavocats.com (ou sf@nadiacanonneavocats) - Sont inclus la prestation de transfert des mails vers Exchange - L'accès au support technique illimité pour les problèmes de mails, de calendriers";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 8.20 ";44367;"facture_periodique"
"Nadia Canonne Avocats";"FLI19080032";01/08/2019;"Abonnement Hébergement";01/08/2019;"VENTE D'ABONNEMENTS";"MAINTENANCE INFRA";"marchandise";"1.00";" 27.00 ";44368;"facture_periodique"
"Nadia Canonne Avocats";"FLI19080033";01/08/2019;"AbsysTech Cloud Backup Pack Starter - Jusque 100Go de données stockées - Disponible Windows, Mac et Linux - Données stockées dans le Cloud sur un serveur en France - Cryptage 128 bits - Support par ticket hotline - Support téléphonique - Limité à 1 poste utilisateur par compte - Engagement d'un an (par mois)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 25.00 ";44370;"facture_periodique"
"NORD MED";"FLI19080034";01/08/2019;"Abonnement mensuel Microsoft Office 365 Business Essentials Support technique AbsysTech illimité sur l'ensemble des fonctions basiques de la suite Office";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"2.00";" 9.20 ";44374;"facture_periodique"
"NORD MED";"FLI19080034";01/08/2019;"Compte Microsoft Office 365 Business Premium - Licence d'abonnement mensuelle sans engagement avec support technique illimité pour l'ensemble des fonctionnalités basiques de la suite Office - 1 utilisateur - hébergé - agréé Microsoft - Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"4.00";" 15.50 ";44375;"facture_periodique"
"NORD MED";"FLI19080034";01/08/2019;"Compte Microsoft Office 365 Plan E3 - Licence d'abonnement mensuel sans engagement avec support technique illimité pour l'ensemble des fonctionnalités basiques de la suite Office - 1 utilisateur - Hébergé - Agréé Microsoft Microsoft OneNote/Publisher (Windows only) - Single Language (comprend Word, Excel, PowerPoint, Outlook, OneNote, Publisher, OneDrive Entreprise, Skype Entreprise)";01/08/2019;"VENTE D'ABONNEMENTS";"VENTE D'ABONNEMENTS";"marchandise";"1.00";" 24.70 ";44376;"facture_periodique"
"Novastream";"FLI19080035";01/08/2019;"CHROME : Surveillance par monitoring pro-actif 24h/24. Maintenance préventive/curative en Garantie Intervention par un ingénieur sous 4h/Garantie rétablissement sous 48h du Lundi au Vendredi de 9h à 18h + best effort. Mises à jour de sécurité du système d";01/08/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 200.00 ";44379;"facture_periodique"
"Novastream";"FLI19080035";01/08/2019;"SILICIUM : Spare de chrome. Surveillance par monitoring pro-actif 24h/24. Mises à jour de sécurité du système d'exploitation et serveurs logiciels installés.";01/08/2019;"LOCATION HEBERGEMENT";"MAINTENANCE INFRA";"service";"1.00";" 60.00 ";44380;"facture_periodique"
